state,class,party,incfirst,inclast,pronounce,pronounceipa,firstelect,birthyr,gender,race,religion,lgbt,pre16inc,demS16,repS16,demlast,replast,clinton16,trump16,obama12,romney12,obama08,mccain08,cens10white,cens10black,cens10latino,cens10aapi,cens10native,cens10other,acs16ba,acs16barank,acs16whiteba,acs16whitebarank,medinc,incrank,popvote16,hrcvote16,djtvote16,popvote12,bhovote12,mrvote12,popvote08,bhovote08,jmvote08,popHvote16,demHvote16,repHvote16,otherHvote16,poplast,popDlast,popRlast,popOlast,pop,popWhite,popBlack,popLatino,popAAPI,popNative,popOther,vap,vapWhite,vapBlack,vapLatino,vapAAPI,vapNative,vapOther
Idaho,2016,Republican,Mike,Crapo,(MIKE CRAY-poh),/maÄÈk 'kÄ_eÄÈ.po__/,1998,1951,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,27.7,66.1,24.9,71.2,27.5,59.2,32.4,64.1,35.9,61.2,86.7,0.5,9,1.4,1.1,1.3,27.6,36,29.4,36,51807,36,690433,189765,409055,656742,212787,420911,658454,236440,403012,678943,188249,449017,41677,449530,112057,319953,17520,1567582,1316243,8875,175901,20682,17556,28325,1138510,986529,5658,102786,15729,12584,15224
Illinois,2016,Democratic,Tammy,Duckworth,(TAM-ee DUCK-werth),/'tí_.mi 'd_ë.kwÄ»Ä_‘Ÿ/,2016,1968,Woman,Asian - Thai,Unknown,No,Defeated,54.9,39.8,46.4,48,55.3,38.4,57.5,40.7,61.8,36.7,67.1,13.6,13.4,4.7,0.1,1,34,13,37.8,11,60960,16,5589767,3090729,2146015,5251432,3019512,2135216,5530179,3419348,2031179,5491878,3012940,2184692,294246,3704473,1719478,1778698,206297,12830632,8167753,1832924,2027578,583563,18849,199965,9701453,6510535,1317211,1304397,453810,14446,101054
Indiana,2016,Republican,Todd,Young,(TAHD YUHNG),/tÄïd j_ëÅ†Äç/,2016,1972,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,42.4,52.1,40,54.6,37.5,56.5,43.8,54,49.8,48.8,84,8.3,4.8,1.6,0.2,1,25.6,42,26.8,46,52314,35,2757828,1033126,1557286,2633143,1154275,1422872,2756658,1374039,1345648,2732546,1158947,1423991,149608,1744481,697775,952116,94590,6483802,5286453,582140,389707,103297,14165,108040,4875504,4097332,407005,235369,77906,10948,46944
Iowa,2016,Republican,Chuck,Grassley,(CHUHK GRASS-lee),/t_€_ëk 'gÄ_í_s.li/,1980,1933,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,35.7,60.1,33.3,64.4,41.7,51.1,52,46.2,53.9,44.4,90.9,2.5,3.8,1.8,0.3,0.8,28.4,34,28.8,38,56247,26,1566031,653669,800983,1582180,822544,730617,1537123,828940,682379,1541037,549460,926007,65570,1116063,371686,718215,26162,3046355,2701123,86906,151544,54394,8581,43807,2318362,2107975,57064,88337,40750,6038,18198
Kansas,2016,Republican,Jerry,Moran,(JAIR-ee more-ANN),/'d_ÍÄ_.Ä_i mÄî.'Ä_í_n/,2010,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,32.1,62.4,26.4,70.1,35.7,56.2,38,59.7,41.6,56.5,81.5,5.5,8.4,2.4,0.8,1.5,32.8,15,35.2,21,54935,28,1194755,427005,671018,1156254,439908,689809,1238873,514765,699655,1148761,368672,716661,63428,837692,220971,587175,29546,2853061,2230494,162697,300042,68945,23068,67815,2126147,1732149,116149,177942,51296,16996,31615
Kentucky,2016,Republican,Rand,Paul,(RANND PAWL),/Ä_í_nd pÄîl/,2010,1963,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,42.7,57.3,44.2,55.7,32.7,62.5,37.8,60.5,41.1,57.4,88,7.3,2.5,1.1,0.2,0.1,23.4,46,23.9,49,46659,45,1924149,628854,1202971,1798048,679370,1087190,1827587,751985,1048462,1903465,813246,1090177,42,1356096,600052,755706,338,4339362,3745650,333075,132836,50412,8642,4634,3315991,2917514,241115,82887,36859,6972,1761
Louisiana,2016,Republican,John,Kennedy,(JAHN KEN-uh-dee),/d_ÍÄïn 'kÄ_.nÄ».di/,2016,1951,Man,White - Non-Hispanic,Christian - Methodist,No,Open - Retired,39.3,60.7,37.7,56.6,38.4,58.1,40.6,57.8,39.9,58.6,62.9,29.9,4,1.6,0.6,1,23.4,46,27.5,42,45146,47,2029032,780154,1178638,1994065,809141,1152262,1960761,782989,1148275,884007,347816,536191,0,1264994,476572,715415,73007,4533372,2734884,1442420,192560,70871,28092,64545,3415357,2147661,1019582,138091,54790,19952,35281
Maryland,2016,Democratic,Chris,Van Hollen,(KRISS vann HAH-lenn),/kÄ_ÄÈs ví_n.'hÄï.lÄ_n/,2016,1959,Man,White - Non-Hispanic,Christian - Episcopalian,No,Open - Retired,60.9,35.7,62.2,35.8,60.3,33.9,62,35.9,61.9,36.5,57.2,28,7.3,5.6,0.2,1.6,39.3,3,44.2,4,78945,1,2781446,1677928,943169,2707327,1677844,971869,2631596,1629467,959862,2726144,1659907,972557,93680,1833858,1140531,655666,37661,5773552,3157958,1674229,470632,319106,13815,137812,4420588,2529506,1239796,322308,247474,10722,70782
Missouri,2016,Republican,Roy,Blunt,(ROY BLUHNT),/Ä_ÄîÄÈ bl_ënt/,2010,1950,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,46.4,49.2,40.6,54.2,37.9,56.4,44.3,53.6,49.2,49.4,83,10.7,2.9,1.7,0.4,1.2,28.5,33,29.5,35,51746,37,2827673,1071068,1594511,2763689,1223796,1482440,2929111,1441911,1445814,2802641,1300200,1378458,123983,1943899,789736,1054160,100003,5988927,4850748,687149,212470,102984,24062,111514,4563491,3789292,489611,131812,78258,18397,56121
Nevada,2016,Democratic,Catherine,Cortez Masto,(KATH-rin KOR-tez MASS-toh),/'kí_.‘ŸÄ_ÄÈn 'kÄîÄ_.tÄ_z 'mí_.sto__/,2016,1964,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Retired,47.1,44.7,50.3,44.5,47.9,45.5,52.4,45.7,55.1,42.7,58.9,7.5,22.3,8.1,0.9,2.2,23.5,45,27.7,41,55180,27,1125385,539260,512058,1014918,531373,463567,967848,533736,412827,1108294,521994,495079,91221,721404,362785,321361,37258,2700551,1462081,208058,716501,206503,23536,83872,2035543,1199298,152510,454534,165855,17857,45489
