state,class,party,incfirst,inclast,pronounce,pronounceipa,firstelect,birthyr,gender,race,religion,lgbt,pre16inc,demS16,repS16,demlast,replast,clinton16,trump16,obama12,romney12,obama08,mccain08,cens10white,cens10black,cens10latino,cens10aapi,cens10native,cens10other,acs16ba,acs16barank,acs16whiteba,acs16whitebarank,medinc,incrank,popvote16,hrcvote16,djtvote16,popvote12,bhovote12,mrvote12,popvote08,bhovote08,jmvote08,popHvote16,demHvote16,repHvote16,otherHvote16,poplast,popDlast,popRlast,popOlast,pop,popWhite,popBlack,popLatino,popAAPI,popNative,popOther,vap,vapWhite,vapBlack,vapLatino,vapAAPI,vapNative,vapOther
Illinois,2014,Democratic,Dick,Durbin,(DICK DER-buhn),/dÄÈk 'dÄìÄ_.bÄ»n/,1996,1944,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,53.5,42.7,55.3,38.4,57.5,40.7,61.8,36.7,67.1,13.6,13.4,4.7,0.1,1,34,13,37.8,11,60960,16,5589767,3090729,2146015,5251432,3019512,2135216,5530179,3419348,2031179,,,,,3603519,1929637,1538522,135360,12830632,8167753,1832924,2027578,583563,18849,199965,9701453,6510535,1317211,1304397,453810,14446,101054
Iowa,2014,Republican,Joni,Ernst,(JOH-nee URNST),/'d_Ío__.ni ÄìÄ_nst/,2014,1970,Woman,White - Non-Hispanic,Christian - Lutheran,No,Not Up,,,43.8,52.1,41.7,51.1,52,46.2,53.9,44.4,90.9,2.5,3.8,1.8,0.3,0.8,28.4,34,28.8,38,56247,26,1566031,653669,800983,1582180,822544,730617,1537123,828940,682379,,,,,1129700,494370,588575,46755,3046355,2701123,86906,151544,54394,8581,43807,2318362,2107975,57064,88337,40750,6038,18198
Kansas,2014,Republican,Pat,Roberts,(PATT RAH-berts),/pí_t 'Ä_Äï.bÄ»Ä_ts/,1996,1936,Man,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,42.5,53.1,35.7,56.2,38,59.7,41.6,56.5,81.5,5.5,8.4,2.4,0.8,1.5,32.8,15,35.2,21,54935,28,1194755,427005,671018,1156254,439908,689809,1238873,514765,699655,,,,,866191,368372,460350,37469,2853061,2230494,162697,300042,68945,23068,67815,2126147,1732149,116149,177942,51296,16996,31615
Kentucky,2014,Republican,Mitch,McConnell,(MITCH muh-KAH-nuhl),/mÄÈt_€ mÄ».'kÄï.nÄ»l/,1984,1942,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,,,40.7,56.2,32.7,62.5,37.8,60.5,41.1,57.4,88,7.3,2.5,1.1,0.2,0.1,23.4,46,23.9,49,46659,45,1924149,628854,1202971,1798048,679370,1087190,1827587,751985,1048462,,,,,1435868,584698,806787,44383,4339362,3745650,333075,132836,50412,8642,4634,3315991,2917514,241115,82887,36859,6972,1761
Louisiana,2014,Republican,Bill,Cassidy,(BILL CASS-ih-dee),/bÄÈl 'kí_.sÄÈ.di/,2014,1957,Man,White - Non-Hispanic,Christian - Protestant,No,Not Up,,,44.1,55.9,38.4,58.1,40.6,57.8,39.9,58.6,62.9,29.9,4,1.6,0.6,1,23.4,46,27.5,42,45146,47,2029032,780154,1178638,1994065,809141,1152262,1960761,782989,1148275,,,,,1273589,561210,712379,0,4533372,2734884,1442420,192560,70871,28092,64545,3415357,2147661,1019582,138091,54790,19952,35281
Maine,2014,Republican,Susan,Collins,(SOO-zuhn KAH-lunz),/'su.zÄ»n 'kÄï.lÄ»nz/,1996,1952,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,31.5,68.5,47.8,44.9,56.3,41,57.7,40.4,95.6,0.9,1,1,0.6,1.1,30.1,25,30.3,34,53079,32,747927,357735,335593,713180,401306,292276,731163,421923,295273,,,,,604028,190254,413505,269,1328361,1254297,15154,16935,13755,8210,20010,1053828,1007023,9034,10525,10018,6079,11149
Massachusetts,2014,Democratic,Ed,Markey,(ED MAR-kee),/Ä_d 'mÄïÄ_.ki/,2013 Special,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,61.9,38,60,32.8,60.7,37.5,61.8,36,78.6,5.6,8.1,5.3,0.2,2.3,42.7,1,46,1,75297,4,3325046,1995196,1090893,3167767,1921761,1188460,3081069,1904098,1108854,,,,,2084972,1289944,791950,3078,6547629,4984800,391693,627654,348962,10778,183742,5128706,4029458,288523,416775,270278,8219,115453
Michigan,2014,Democratic,Gary,Peters,(GAIR-ee PEE-terz),/'gÄ_.Ä_i 'pi.Ä_Ä»Ä_z/,2014,1958,Man,White - Non-Hispanic,Christian - Episcopalian,No,Not Up,,,54.6,41.3,47,47.3,54,44.6,57.3,40.9,79.1,13.2,3.5,2.3,0.5,1.3,28.3,35,29.4,36,52492,33,4824119,2268839,2279543,4745316,2564569,2115256,5010606,2872579,2048639,,,,,3121775,1704936,1290199,126640,9883640,7569939,1383756,436358,238660,54665,200262,7539572,5960698,998309,264511,176944,40071,99039
Minnesota,2014,Democratic,Tina,Smith,(TEE-nuh SMITH),/'ti.nÄ» smÄÈ‘Ÿ/,2018 Appointment,1958,Woman,White - Non-Hispanic,,No,Not Up,,,     Appointed,,46.4,44.9,52.7,45,54.1,43.8,86.1,4.3,3.7,3.7,0.9,1.2,34.8,11,36.4,18,65599,13,2945233,1367825,1323232,2936561,1546167,1320225,2910369,1573354,1275409,,,,,1981590,1053205,850227,78158,5303925,4405142,269141,250258,214856,55421,109107,4019862,3462644,174688,148836,147365,38010,48319
Mississippi,2014,Republican,Thad,Cochran,(THADD KAHK-rin),/‘Ÿí_d 'kÄï.kÄ_ÄÈn/,1978,1937,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,,,37.9,59.9,40.1,57.9,43.8,55.3,43,56.2,61,34.6,2.5,0.9,0.4,0.7,21.8,49,25.5,47,41754,50,1211088,485131,700714,1285584,562949,710746,1289939,554662,724597,,,,,631858,239439,378481,13938,2967297,1722287,1093512,81481,26425,13845,29747,2211742,1348246,764250,54977,20171,9440,14658
Montana,2014,Republican,Steve,Daines,(STEEV DAYNZ),/stiv deÄÈnz/,2014,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,40.1,57.8,35.4,55.6,41.7,55.3,47.1,49.5,90,0.3,2.3,0.7,5.1,1.6,31,20,31.9,30,50027,40,501822,177709,279240,484484,201839,267928,492750,232159,243882,,,,,369826,148184,213709,7933,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376
Nebraska,2014,Republican,Ben,Sasse,(BEN SASS),/bÄ_n sí_s/,2014,1972,Man,White - Non-Hispanic,Christian - Lutheran/Presbyterian,No,Not Up,,,31.5,64.3,33.7,58.7,38,59.8,41.6,56.5,85.4,4,7.2,1.8,0.7,1,31.4,19,33.6,26,56927,22,844227,284494,495961,794379,302081,475064,801281,333319,452979,,,,,540337,170127,347636,22574,1826341,1499753,80959,167405,32885,14797,30542,1367120,1166956,54981,98221,24103,9637,13222
New Hampshire,2014,Democratic,Jeanne,Shaheen,(JEEN shuh-HEEN),/d_Íin _€Ä».'hin/,2008,1947,Woman,White - Non-Hispanic,Christian - Protestant,No,Not Up,,,51.5,48.2,46.8,46.5,52,46.4,54.1,44.5,93.6,0.9,2.2,2,0.2,1,36.6,7,36.5,16,70936,7,744296,348526,345790,710972,369561,329918,710970,384826,316534,,,,,488159,251184,235347,1628,1316470,1215050,13625,36704,28570,2693,19828,1029236,962931,9436,22934,21086,2124,10725
New Jersey,2014,Democratic,Cory,Booker,(KOR-ee BOOK-er),/'kÄî.Ä_i 'b__.kÄ»Ä_/,2013 Special,1969,Man,Black - African-American,Christian - Baptist,No,Not Up,,,55.8,42.3,55,41,58.2,40.5,57.1,41.6,61.7,12.4,16.3,8.1,0.1,1.4,38.6,4,43,7,76126,3,3906723,2148278,1601933,3651140,2126610,1478749,3877407,2215422,1613207,,,,,1869535,1043866,791297,34372,8791894,5214878,1125401,1555144,721790,12227,162454,6726680,4149566,832756,1094143,547857,8784,93574
New Mexico,2014,Democratic,Tom,Udall,(TAHM YOO-dawl),/tÄïm 'ju.Ä_Äîl/,2008,1948,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,,,55.6,44.4,48.3,40,53,42.8,56.9,41.8,45.3,1.8,42.3,1.4,7.9,1.3,27.2,38,40.2,10,46748,44,798318,385234,319666,783757,415335,335788,830158,472422,346832,,,,,515506,286409,229097,0,2059179,833810,35462,953403,27551,175368,33585,1540507,697848,27453,651326,21943,121962,19975
North Carolina,2014,Republican,Thom,Tillis,(TAHM TIL-iss),/tÄïm 'tÄÈ.lÄÈs/,2014,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,47.3,48.8,46.2,49.8,48.4,50.4,49.7,49.4,68.4,20.4,6.8,2.2,1.1,1.1,30.4,24,34.1,23,50584,39,4741564,2189316,2362631,4505372,2178391,2270395,4310789,2142651,2128474,,,,,2915281,1377651,1423259,114371,9535483,6223995,2019854,800120,211838,108829,170847,7253848,4964325,1480769,492330,156328,79295,80801
Oklahoma,2014,Republican,Jim,Inhofe,(JIM IN-hawf),/d_ÍÄÈm 'ÄÈn.hÄîf/,1994,1934,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,28.5,68,28.9,65.3,33.2,66.8,34.4,65.6,72.8,6.9,7.1,1.8,7.4,4,25.2,43,27.5,42,49176,42,1452992,420375,949136,1334872,443547,891325,1462661,502496,960165,,,,,820733,234307,558166,28260,3751351,2575381,272071,332007,68131,308733,195028,2821685,2055504,195546,199457,51631,207883,111664
Oregon,2014,Democratic,Jeff,Merkley,(JEFF MER-klee),/d_ÍÄ_f 'mÄìÄ_.kli/,2008,1956,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,,,55.7,36.9,50.1,39.1,54.2,42.1,56.7,40.4,82.1,1.6,9.1,3.9,1.1,2.2,32.7,16,34.5,22,57532,21,2001336,1002106,782403,1789270,970488,754175,1827864,1037291,738475,,,,,1461618,814537,538847,108234,3831074,3005848,64984,450062,152133,42706,115341,2964621,2432835,46946,269748,117036,31862,66194
Rhode Island,2014,Democratic,Jack,Reed,(JACK REED),/d_Íí_k Ä_id/,1996,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,70.6,29.2,54.4,38.9,62.7,35.2,62.9,35.1,79.8,4.5,10.2,2.8,0.4,2.3,34.1,12,37.5,13,60596,18,464144,252525,180543,446049,279677,157204,471766,296571,165391,,,,,316898,223675,92684,539,1052567,803685,51560,130655,30293,4020,32354,828611,660823,37225,84715,23497,2933,19418
South Carolina,2014,Republican,Lindsey,Graham,(LIN-zee GRAM),/'lÄÈn.zi gÄ_í_Ä»m/,2002,1955,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,,,38.8,54.3,40.7,54.9,44.1,54.6,44.9,53.9,66.7,26.3,4.3,1.3,0.4,0.9,27.2,38,32,29,49501,41,2103027,855373,1155389,1964118,865941,1071645,1920969,862449,1034896,,,,,1240075,480933,672941,86201,4625364,2962740,1279998,235682,60420,16614,69910,3544890,2365767,932892,154176,46258,12613,33184
South Dakota,2014,Republican,Mike,Rounds,(MIKE ROWNDZ),/maÄÈk Ä_a__ndz/,2014,1954,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,29.5,50.4,31.7,61.5,39.9,57.9,44.7,53.2,87.8,1,2.1,0.9,6.9,1.1,28.9,29,30.9,32,54467,29,370093,117458,227721,363815,145039,210610,381975,170924,203054,,,,,279412,82456,140741,56215,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938
Tennessee,2014,Republican,Lamar,Alexander,(luh-MAR al-egg-ZAN-der),/lÄ».'mÄïÄ_ èëal.Ä_g.'zí_n.dÄ»Ä_/,2002,1940,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,31.9,61.9,34.7,60.7,39,59.4,41.8,56.8,78.1,15.5,3.8,1.4,0.3,1,26.1,41,27.3,44,48547,43,2508027,870695,1522925,2460904,960709,1462330,2601982,1087437,1479178,,,,,1374060,437848,850087,86125,6346105,4800782,1049391,290059,93078,16302,96493,4850104,3787577,750653,182006,69305,13005,47558
Texas,2014,Republican,John,Cornyn,(JAHN KOR-nuhn),/d_ÍÄïn 'kÄîÄ_.nÄ»n/,2002,1952,Man,White - Non-Hispanic,Christian - Nondenominational,No,Not Up,,,34.4,61.6,43.2,52.2,41.4,57.1,43.6,55.4,49.6,11.4,33.6,4,0.3,1.1,28.9,29,37.6,12,56565,25,8969226,3877868,4685047,7999532,3308124,4569843,8087791,3528633,4479328,,,,,4648356,1597387,2861529,189440,25145554,11397345,2886818,9460921,966346,80586,353538,18279734,9074684,2076279,6143144,729880,61856,193891
Virginia,2014,Democratic,Mark,Warner,(MARK WAR-ner),/mÄïÄ_k 'wÄîÄ_.nÄ»Ä_/,2008,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,49.1,48.3,49.8,44.4,51.2,47.3,52.6,46.3,67.2,18.5,6.9,5.5,0.3,1.6,38.1,6,41.6,9,68114,8,3982752,1981473,1769443,3854489,1971820,1822522,3723260,1959532,1725005,,,,,2184473,1073667,1055940,54866,8001024,5186450,1523704,631825,441359,20679,197007,6147347,4133385,1135015,426857,338098,16173,97819
West Virginia,2014,Republican,Shelley Moore,Capito,(SHELL-ee MORE CAP-it-oh),/'_€Ä_.li mÄîÄ_ 'kí_.pÄÈ.to__/,2014,1953,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,34.5,62.1,26.2,67.9,35.5,62.1,42.5,55.6,93.9,3.3,1,0.7,0.2,0.9,20.8,50,20.5,50,43385,49,721231,188794,489371,672119,238269,417655,715123,303857,397466,,,,,453659,156360,281820,15479,1852994,1726256,62122,22268,12672,3493,26183,1465576,1376801,48118,14764,10130,2902,12861
Wyoming,2014,Republican,Mike,Enzi,(MIKE EN-zee),/maÄÈk 'Ä_n.zi/,1996,1944,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,17.4,72.2,21.9,68.2,27.8,68.6,32.5,64.8,87.9,0.8,7.5,0.9,1.8,1.1,27.1,40,28.5,40,59882,19,255849,55973,174419,249061,69286,170962,254658,82868,164958,,,,,168390,29377,121554,17459,563626,483874,4351,50231,4644,11784,8742,428224,376530,3265,32070,3757,7764,4838
Arizona,2012,Republican,Jeff,Flake,(JEFF FLAYK),/d_ÍÄ_f fleÄÈk/,2012,1962,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,,,46.2,49.2,44.6,48.1,44.4,53.5,44.9,53.4,63.4,3.6,25,3,3.7,1.4,28.9,29,35.3,19,53558,31,2604657,1161167,1252401,2306559,1025232,1233654,2303838,1034707,1230111,,,,,2245609,1036542,1104457,104610,6392017,3695647,239101,1895149,181468,257426,123226,4763003,3017895,172249,1191203,140517,175207,65932
California,2012,Democratic,Dianne,Feinstein,(DIE-ann FINE-stine),/'daÄÈ.í_n 'faÄÈn.staÄÈn/,1992,1933,Woman,White - Non-Hispanic,Jewish,No,Not Up,,,62.5,37.5,61.5,31.5,60.2,37.1,60.9,36.9,44.4,5.9,33.1,14,0.4,2.2,32.9,14,43.1,6,67739,9,14237884,8753788,4483810,13055815,7854285,4839958,13583083,8274473,5011781,,,,,12578511,7864624,4713887,0,37253956,14956253,2163804,14013719,4903647,162250,1054283,27958916,12409858,1640279,9257499,3905481,125020,620779
Connecticut,2012,Democratic,Chris,Murphy,(KRISS MER-fee),/kÄ_ÄÈs 'mÄìÄ_.fi/,2012,1973,Man,White - Non-Hispanic,Christian - Protestant,No,Not Up,,,55.3,43,54.6,40.9,58.1,40.7,60.6,38.2,74.2,8.9,11.6,3.7,0.2,1.4,38.6,4,43.3,5,73433,6,1644920,897572,673215,1558993,905109,634899,1646793,997773,629428,,,,,1501703,830343,646231,25129,3574097,2546262,335119,479087,135049,6885,71695,2757082,2046548,246016,318947,101215,5044,39312
Delaware,2012,Democratic,Tom,Carper,(TAHM KAR-per),/tÄïm 'kÄïÄ_.pÄ»Ä_/,2000,1947,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,66.4,29,53.1,41.7,58.6,40,61.9,36.9,69,19.5,6.7,3.2,0.3,1.3,31,20,33.8,25,61757,15,443814,235603,185127,413921,242584,165484,412616,255459,152374,,,,,399607,265415,115700,18492,897934,586752,186782,73221,28546,2824,19809,692169,477636,134984,46136,21844,2248,9321
Florida,2012,Democratic,Bill,Nelson,(BILL NELL-suhn),/bÄÈl 'nÄ_l.sÄ»n/,2000,1942,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,55.2,42.2,47.4,48.6,49.9,49,50.9,48.1,61.2,13.7,21.1,2.4,0.3,1.3,28.6,32,32.2,27,50860,38,9501617,4504975,4617886,8492175,4237756,4163447,8412248,4282367,4046219,,,,,8189946,4523451,3458267,208228,18800445,10884549,2851095,4223134,454937,47264,339466,14798498,9058298,2033898,3118620,356853,37077,193752
Hawaii,2012,Democratic,Mazie,Hirono,(MAY-zee hear-OH-noh) [O's unrounded],/'meÄÈ.zi hi.'Ä_o.no/,2012,1947,Woman,Asian - Japanese,Buddhist - Jodo Shinshu,No,Not Up,,,62.6,37.4,62.2,30,70.5,27.8,71.8,26.6,25.5,1.5,7.2,49.7,0.2,15.9,31.9,18,44.8,3,74511,5,428937,266891,128847,434697,306658,121015,453568,325871,120566,,,,,430483,269489,160994,0,1360301,309343,19904,120842,641516,2823,265873,1056483,269530,15662,75574,525267,2323,168127
Indiana,2012,Democratic,Joe,Donnelly,(JOH DAH-nuh-lee),/d_Ío__ 'dÄï.nÄ».li/,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,50,44.3,37.5,56.5,43.8,54,49.8,48.8,84,8.3,4.8,1.6,0.2,1,25.6,42,26.8,46,52314,35,2757828,1033126,1557286,2633143,1154275,1422872,2756658,1374039,1345648,,,,,2563799,1282729,1135678,145392,6483802,5286453,582140,389707,103297,14165,108040,4875504,4097332,407005,235369,77906,10948,46944
Maine,2012,Independent - Dem Caucus,Angus,King,(AYN-guhs KEENG),/'eÄÈÅ†.gÄ»s kÄÈÅ†g/,2012,1944,Man,White - Non-Hispanic,Christian - Episcopalian,No,Not Up,,,52.9,30.7,47.8,44.9,56.3,41,57.7,40.4,95.6,0.9,1,1,0.6,1.1,30.1,25,30.3,34,53079,32,747927,357735,335593,713180,401306,292276,731163,421923,295273,,,,,700599,92900,215399,370580,1328361,1254297,15154,16935,13755,8210,20010,1053828,1007023,9034,10525,10018,6079,11149
Maryland,2012,Democratic,Ben,Cardin,(BEHN KAHR-dn),/bÄ_n 'kÄïÄ_._în/,2006,1943,Man,White - Non-Hispanic,Jewish,No,Not Up,,,56,26.3,60.3,33.9,62,35.9,61.9,36.5,57.2,28,7.3,5.6,0.2,1.6,39.3,3,44.2,4,78945,1,2781446,1677928,943169,2707327,1677844,971869,2631596,1629467,959862,,,,,2633234,1474028,693291,465915,5773552,3157958,1674229,470632,319106,13815,137812,4420588,2529506,1239796,322308,247474,10722,70782
Massachusetts,2012,Democratic,Elizabeth,Warren,(uh-LIZ-uh-bith WAR-en),/Ä».'lÄÈ.zÄ».èëbÄÈ‘Ÿ 'wÄî.Ä_Ä_n/,2012,1949,Woman,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,53.7,46.2,60,32.8,60.7,37.5,61.8,36,78.6,5.6,8.1,5.3,0.2,2.3,42.7,1,46,1,75297,4,3325046,1995196,1090893,3167767,1921761,1188460,3081069,1904098,1108854,,,,,3156553,1696346,1458048,2159,6547629,4984800,391693,627654,348962,10778,183742,5128706,4029458,288523,416775,270278,8219,115453
Michigan,2012,Democratic,Debbie,Stabenow,(DEH-bee STAB-en-oh),/'dÄ_.bi 'stí_.bÄ_.no__/,2000,1950,Woman,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,58.8,38,47,47.3,54,44.6,57.3,40.9,79.1,13.2,3.5,2.3,0.5,1.3,28.3,35,29.4,36,52492,33,4824119,2268839,2279543,4745316,2564569,2115256,5010606,2872579,2048639,,,,,4652918,2735826,1767386,149706,9883640,7569939,1383756,436358,238660,54665,200262,7539572,5960698,998309,264511,176944,40071,99039
Minnesota,2012,Democratic,Amy,Klobuchar,(AY-mee KLOH-buh-shar),/'eÄÈ.mi 'klo__.bÄ»._€ÄïÄ_/,2006,1960,Woman,White - Non-Hispanic,Christian - Congregationalist,No,Not Up,,,65.2,30.5,46.4,44.9,52.7,45,54.1,43.8,86.1,4.3,3.7,3.7,0.9,1.2,34.8,11,36.4,18,65599,13,2945233,1367825,1323232,2936561,1546167,1320225,2910369,1573354,1275409,,,,,2843207,1854595,867974,120638,5303925,4405142,269141,250258,214856,55421,109107,4019862,3462644,174688,148836,147365,38010,48319
Mississippi,2012,Republican,Roger,Wicker,(RAH-jer WIK-er),/'Ä_Äï.d_ÍÄ»Ä_ 'wÄÈ.kÄ»Ä_/,2007 Appointment,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Not Up,,,40.6,57.2,40.1,57.9,43.8,55.3,43,56.2,61,34.6,2.5,0.9,0.4,0.7,21.8,49,25.5,47,41754,50,1211088,485131,700714,1285584,562949,710746,1289939,554662,724597,,,,,1241568,503467,709626,28475,2967297,1722287,1093512,81481,26425,13845,29747,2211742,1348246,764250,54977,20171,9440,14658
Missouri,2012,Democratic,Claire,McCaskill,(KLAIR muh-KASS-kuhl),/klÄ_Ä_ mÄ».'kí_s.kÄ»l/,2006,1953,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,54.8,39.1,37.9,56.4,44.3,53.6,49.2,49.4,83,10.7,2.9,1.7,0.4,1.2,28.5,33,29.5,35,51746,37,2827673,1071068,1594511,2763689,1223796,1482440,2929111,1441911,1445814,,,,,2725793,1494125,1066159,165509,5988927,4850748,687149,212470,102984,24062,111514,4563491,3789292,489611,131812,78258,18397,56121
Montana,2012,Democratic,Jon,Tester,(JAHN TEH-ster),/d_ÍÄïn 'te.stÄ»Ä_/,2006,1956,Man,White - Non-Hispanic,Christian - Church of God,No,Not Up,,,48.6,44.9,35.4,55.6,41.7,55.3,47.1,49.5,90,0.3,2.3,0.7,5.1,1.6,31,20,31.9,30,50027,40,501822,177709,279240,484484,201839,267928,492750,232159,243882,,,,,486066,236123,218051,31892,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376
Nebraska,2012,Republican,Deb,Fischer,(DEBB FISH-er),/dÄ_b 'fÄÈ._€Ä»Ä_/,2012,1951,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,42.2,57.8,33.7,58.7,38,59.8,41.6,56.5,85.4,4,7.2,1.8,0.7,1,31.4,19,33.6,26,56927,22,844227,284494,495961,794379,302081,475064,801281,333319,452979,,,,,788572,332979,455593,0,1826341,1499753,80959,167405,32885,14797,30542,1367120,1166956,54981,98221,24103,9637,13222
Nevada,2012,Republican,Dean,Heller,(DEEN HELL-er),/din 'hÄ_.lÄ»Ä_/,2011 Appointment,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Not Up,,,44.7,45.9,47.9,45.5,52.4,45.7,55.1,42.7,58.9,7.5,22.3,8.1,0.9,2.2,23.5,45,27.7,41,55180,27,1125385,539260,512058,1014918,531373,463567,967848,533736,412827,,,,,997805,446080,457656,94069,2700551,1462081,208058,716501,206503,23536,83872,2035543,1199298,152510,454534,165855,17857,45489
New Jersey,2012,Democratic,Bob,Menendez,(BAHB men-EN-dez),/bÄïb mÄ_.'nÄ_n.dÄ_z/,2006 Appointment,1954,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Not Up,,,58.8,39.4,55,41,58.2,40.5,57.1,41.6,61.7,12.4,16.3,8.1,0.1,1.4,38.6,4,43,7,76126,3,3906723,2148278,1601933,3651140,2126610,1478749,3877407,2215422,1613207,,,,,3376068,1986428,1330130,59510,8791894,5214878,1125401,1555144,721790,12227,162454,6726680,4149566,832756,1094143,547857,8784,93574
New Mexico,2012,Democratic,Martin,Heinrich,(MAR-tn HINE-rehk),/'mÄïÄ_._în 'haÄÈn.Ä_Ä_k/,2012,1971,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,,,51,45.3,48.3,40,53,42.8,56.9,41.8,45.3,1.8,42.3,1.4,7.9,1.3,27.2,38,40.2,10,46748,44,798318,385234,319666,783757,415335,335788,830158,472422,346832,,,,,775792,395717,351259,28816,2059179,833810,35462,953403,27551,175368,33585,1540507,697848,27453,651326,21943,121962,19975
New York,2012,Democratic,Kirsten,Gillibrand,(KEER-stin JILL-uh-brand),/'kÄÈÄ»Ä_.stÄÈn 'd_ÍÄÈ.lÄ».bÄ_í_nd/,2009 Appointment,1966,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,72.2,26.3,59,36.5,63.3,35.2,62.9,36,60.4,13.9,16.2,7.5,0.3,1.7,35.7,9,42.1,8,62909,14,7707363,4547562,2814589,7081536,4485877,2490496,7640948,4804945,2752771,,,,,6677911,4822508,1758763,96640,19378074,11304236,2783852,3416915,1411512,53908,407651,15053150,9098285,2095443,2444396,1124261,39142,251623
North Dakota,2012,Democratic,Heidi,Heitkamp,(HIGH-dee HEIGHT-kamp),/'haÄÈ.Ä_i 'haÄÈt.kí_mp/,2012,1955,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,50.2,49.3,27.2,63,38.7,58.3,44.5,53.2,91,1,1.5,1.1,4.4,1,29.6,26,31,31,60656,17,344360,93758,216794,322627,124827,188163,317738,141403,168887,,,,,320851,161163,158282,1406,672591,598007,7720,13467,7129,35562,10706,522720,475686,5157,8064,5782,22786,5245
Ohio,2012,Democratic,Sherrod,Brown,(SHAIR-uhd BROWN),/'_€Ä_.Ä_Ä»d bÄ_a__n/,2006,1952,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,,,50.7,44.7,43.2,51.3,50.6,47.6,51.4,46.8,83.2,11.3,2.5,1.7,0.2,1.1,27.5,37,28.6,39,52334,34,5536528,2394164,2841005,5590934,2827709,2661437,5721831,2940044,2677820,,,,,5449127,2762766,2435744,250617,11536504,9359263,1389115,354674,194165,20906,218381,8805753,7330425,993016,218924,147897,16698,98793
Pennsylvania,2012,Democratic,Bob,Casey,(BAHB KAY-see),/bÄïb 'keÄÈ.si/,2006,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,53.7,44.6,47.5,48.2,52,46.6,54.5,44.2,81.8,9.7,4.6,2.7,0.1,1,30.8,22,32.2,27,56907,23,6166698,2926441,2970733,5754939,2990274,2680434,6015476,3276363,2655885,,,,,5627422,3021364,2509132,96926,12702379,10094652,1327091,719660,349003,16909,195064,9910224,8111276,963866,459421,266785,13163,95713
Rhode Island,2012,Democratic,Sheldon,Whitehouse,(SHELL-duhn WHITE-house),/'_€Ä_l.dÄ»n 'waÄÈt.ha__s/,2006,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Not Up,,,64.8,35,54.4,38.9,62.7,35.2,62.9,35.1,79.8,4.5,10.2,2.8,0.4,2.3,34.1,12,37.5,13,60596,18,464144,252525,180543,446049,279677,157204,471766,296571,165391,,,,,418189,271034,146222,933,1052567,803685,51560,130655,30293,4020,32354,828611,660823,37225,84715,23497,2933,19418
