District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Connecticut 4th,CT-04,Democratic,Jim,Himes,(JIM HAHYMZ),/dʒɪm haɪmz/,2008,1966,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,59.9,40.1,53.7,46.3,60.0,40.0,59.6,36.6,55.1,44.0,59.6,39.7,66.8,10.9,16.2,4.6,0.1,1.4,48.8 ,29 ,60.7 ,24 ,"$94,862",21,,,,85,"328,198","195,494","119,976","310,284","170,884","136,600","323,755","192,941","128,653","313,540","187,811","125,724",5,"198,719","106,791","91,928",0,"175,929","117,503",,,,,"717,177","465,506","79,783","124,345","33,266",735,"13,542","536,108","358,054","58,362","86,945","24,833",489,"7,425"
Connecticut 5th,CT-05,Democratic,Elizabeth,Esty,(uh-LIZ-uh-bith EH-stee),/ə.'lɪz.ə.ˌbɪθ 'ɛs.ti/,2012,1959,Woman,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,58.0,42.0,53.3,45.8,51.3,48.7,49.9,45.8,53.5,45.3,56.4,42.4,76.7,5.6,13.1,2.9,0.1,1.5,36.3 ,116 ,40.0 ,135 ,"$68,904",105,,,,86,"322,737","161,142","147,901","307,553","164,621","139,347","323,202","182,147","137,066","309,082","179,252","129,801",29,"211,123","112,550","96,625","1,948","146,106","138,640",,,,,"715,099","523,650","41,986","111,254","21,966","1,035","15,208","547,324","419,536","30,764","71,894","15,916",775,"8,439"
Delaware At-Large,DE-AL,Democratic,Lisa,Blunt Rochester,(LEE-suh BLUNT RAH-chess-ter),/'li.sə blʌnt 'ɹɑ.tʃɛs.təɹ/,2016,1962,Woman,Black - African-American,Christian - Protestant,No,Open - Ran for governor and won,55.5,41.0,59.3,36.8,65.8,34.2,53.4,41.9,58.6,40.0,61.9,36.9,69.0,19.5,6.7,3.2,0.3,1.3,31.0 ,177 ,33.8 ,209 ,"$61,757",158,,,,87,"441,590","235,603","185,127","413,890","242,584","165,484","412,412","255,459","152,374","420,617","233,554","172,301","14,762","231,617","137,251","85,146","9,220","249,933","129,757",,,,,"897,934","586,752","186,782","73,221","28,546","2,824","19,809","692,169","477,636","134,984","46,136","21,844","2,248","9,321"
Florida 1st,FL-01,Republican,Matt,Gaetz,(MATT GAYTS),/mæt geɪts/,2016,1982,Man,White - Non-Hispanic,Christian - Baptist,No,Open - Retired,30.9,69.1,23.4,70.1,28.1,71.9,28.2,67.5,30.1,68.5,32.0,66.8,77.6,12.5,4.5,2.7,0.8,2.0,27.9 ,237 ,30.5 ,263 ,"$53,006",252,,,,88,"380,100","107,063","256,609",100,30.1,68.5,100.0,32.0,66.8,"369,186","114,079","255,107",0,"235,343","54,976","165,086","15,281","92,961","238,440",,,,,"696,535","522,979","94,989","35,965","17,410","5,027","20,165","541,847","420,265","67,755","24,624","14,449","4,149","10,605"
Florida 2nd,FL-02,Republican,Neal,Dunn,(NEEL DUHN),/nil dʌn/,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired/Redistricted,29.9,67.3,      Redrawn,,      Redrawn,,30.6,66.2,34.0,64.6,35.2,63.4,79.7,12.2,4.8,1.5,0.5,1.3,23.4 ,324 ,24.3 ,368 ,"$46,062",360,,,,89,"354,948","108,636","234,991",100,34.0,64.6,100.0,35.2,63.4,"343,362","102,801","231,163","9,398",,,,,,,,,,,"691,866","541,277","86,305","37,570","10,224","3,395","13,095","549,325","437,988","67,000","26,518","8,005","2,729","7,085"
Florida 3rd,FL-03,Republican,Ted,Yoho,(TED YOH-hoh),/tɛd 'joʊ.hoʊ,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.8,56.6,      Redrawn,,      Redrawn,,40.2,56.2,41.9,56.6,44.2,54.6,72.8,14.8,7.4,3.3,0.3,1.4,25.9 ,277 ,26.5 ,322 ,"$45,970",362,,,,90,"351,688","141,362","197,478",100,41.9,56.6,100.0,44.2,54.6,"342,700","136,338","193,843","12,519",,,,,,,,,,,"693,992","487,768","111,555","56,511","21,708","2,126","14,324","544,863","396,837","80,796","40,113","17,795","1,682","7,640"
Florida 4th,FL-04,Republican,John,Rutherford,(JAHN RUH-ther-ferd),/dʒɑn 'ɹʌ.ðəɹ.fəɹd/,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,27.6,70.2,      Redrawn,,      Redrawn,,34.1,62.1,32.8,66.1,34.8,64.2,79.0,9.0,6.2,4.0,0.3,1.5,39.2 ,85 ,39.8 ,142 ,"$68,229",109,,,,91,"421,618","143,675","261,826",100,32.8,66.1,100.0,34.8,64.2,"409,662","113,088","287,509","9,065",,,,,,,,,,,"703,676","539,580","68,319","48,895","29,091","2,060","15,731","548,152","432,907","49,112","34,090","22,162","1,651","8,230"
Florida 5th,FL-05,Democratic,Al,Lawson,(AL LAW-suhn),/æl 'lɔ.sən/,2016,1948,Man,Black - African-American,Christian - Episcopalian,No,Open - Lost Primary/Redistricted,64.2,35.8,      Redrawn,,      Redrawn,,61.3,35.9,63.6,35.4,63.2,35.9,46.7,43.1,6.0,2.4,0.3,1.4,21.4 ,361 ,25.0 ,350 ,"$40,932",410,,,,92,"312,071","191,194","111,892",100,63.6,35.4,100.0,63.2,35.9,"302,874","194,549","108,325",0,,,,,,,,,,,"693,320","298,405","317,227","45,553","15,790","2,241","14,104","528,480","246,880","228,004","31,765","12,589","1,807","7,435"
Florida 6th,FL-06,Republican,Ron,DeSantis,(RAHN dee-SAN-tiss),/ɹɑn di.'sæn.tɪs/,2012,1978,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.4,58.6,      Redrawn,,      Redrawn,,39.9,56.9,46.6,52.2,50.1,48.7,79.5,8.9,8.8,1.5,0.3,1.1,23.9 ,311 ,24.9 ,354 ,"$46,882",352,,,,93,"379,804","151,453","215,941",100,46.6,52.2,100.0,50.1,48.7,"364,570","151,051","213,519",0,,,,,,,,,,,"699,410","534,141","68,545","72,835","10,704","1,958","11,227","564,224","448,394","50,236","49,490","8,540","1,607","5,957"
Florida 7th,FL-07,Democratic,Stephanie,Murphy,(STEFF-uh-nee MUR-fee),/'stɛ.fə.ni 'mɜɹ.fi/,2016,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,Defeated,51.5,48.5,      Redrawn,,      Redrawn,,51.4,44.1,49.4,49.4,51.1,48.0,66.8,8.9,18.7,3.9,0.2,1.5,37.8 ,95 ,44.3 ,96 ,"$57,146",207,,,,94,"363,186","186,658","160,178",100,49.4,49.4,100.0,51.1,48.0,"353,655","182,039","171,583",33,,,,,,,,,,,"695,696","445,353","65,935","141,621","26,859","1,565","14,363","548,186","365,919","49,047","102,442","21,202","1,242","8,334"
Florida 8th,FL-08,Republican,Bill,Posey,(BILL POH-zee),/bɪl 'poʊ.zi/,2008,1947,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,32.5,63.1,34.1,65.8,38.9,61.1,37.7,58.4,42.1,56.6,43.8,54.9,80.4,8.3,7.7,2.0,0.3,1.3,29.0 ,220 ,30.4 ,265 ,"$50,752",294,,,,95,"401,911","151,412","234,648",100,42.1,56.6,100.0,43.8,54.9,"390,561","127,127","246,483","16,951","274,513","93,724","180,728",61,"130,870","205,432",,,,,"695,476","538,048","65,465","62,145","13,601","2,035","14,182","558,439","449,006","46,558","42,740","11,023","1,648","7,464"
Florida 9th,FL-09,Democratic,Darren,Soto,(DAIR-ren SOH-toh),/'dɛ.ɹən 'soʊ.ɾoʊ/,2016,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Open - Ran for Senate and lost in primary,57.5,42.5,      Redrawn,,      Redrawn,,54.8,41.9,55.6,43.4,54.6,44.5,52.4,10.7,32.2,3.0,0.2,1.5,24.6 ,299 ,28.8 ,286 ,"$49,899",315,,,,96,"356,530","195,368","149,352",100,55.6,43.4,100.0,54.6,44.5,"339,761","195,311","144,450",0,,,,,,,,,,,"693,475","334,024","79,271","244,747","20,291","1,544","13,598","520,247","272,500","55,761","167,633","15,555","1,239","7,559"
Florida 10th,FL-10,Democratic,Val,Demings,(VAL DEM-eengz),/væl 'dɛ.mɪŋgz/,2016,1957,Woman,Black - African-American,Christian - Protestant,No,Open - Retiring from Redistricted FL-11,64.9,35.1,      Redrawn,,      Redrawn,,61.8,34.9,60.7,38.4,60.9,38.5,44.1,25.0,23.0,5.4,0.2,2.3,30.3 ,191 ,38.3 ,154 ,"$50,151",307,,,,97,"315,611","194,934","110,062",100,60.7,38.4,100.0,60.9,38.5,"305,989","198,491","107,498",0,,,,,,,,,,,"694,368","282,252","186,708","168,629","35,871","1,551","19,357","519,891","229,356","129,784","119,463","28,110","1,181","11,997"
Florida 11th,FL-11,Republican,Daniel,Webster,(DAN-yuhl WEBB-ster),/'dæn.jəl 'wɛb.stəɹ/,2010,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.6,65.4,      Redrawn,,      Redrawn,,32.5,64.8,39.8,59.2,42.6,56.1,84.4,6.0,7.3,1.1,0.3,0.9,20.6 ,377 ,21.2 ,406 ,"$43,610",388,,,,98,"410,998","133,448","266,256",100,39.8,59.2,100.0,42.6,56.1,"394,719","124,713","258,016","11,990",,,,,,,,,,,"692,014","563,980","46,961","60,756","8,285","2,057","9,975","574,603","484,917","34,199","41,898","6,481","1,698","5,410"
Florida 12th,FL-12,Republican,Gus,Bilirakis,(GUHS bill-uh-RACK-iss),/gʌs ˌbɪ.lə.'ɹæ.kɪs/,2006,1963,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,31.4,68.6,      Redrawn,,      Redrawn,,38.8,57.4,45.5,53.0,47.4,51.2,84.7,3.3,8.5,2.1,0.2,1.1,26.9 ,256 ,26.7 ,318 ,"$49,774",317,,,,99,"380,357","147,759","218,487",100,45.5,53.0,100.0,47.4,51.2,"369,669","116,110","253,559",0,,,,,,,,,,,"694,735","569,187","26,134","70,632","15,567","1,641","11,574","554,847","470,214","18,400","47,259","11,692","1,372","5,910"
Florida 13th,FL-13,Democratic,Charlie,Crist,(CHAR-lee KRIST),/'tʃɑɹ.li kɹɪst/,2016,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Defeated,51.9,48.1,      Redrawn,,      Redrawn,,49.6,46.4,54.6,43.9,55.5,43.0,77.7,10.6,7.1,3.0,0.3,1.3,27.8 ,242 ,28.8 ,286 ,"$48,519",331,,,,100,"360,760","178,892","167,348",100,54.6,43.9,100.0,55.5,43.0,"355,842","184,693","171,149",0,,,,,,,,,,,"697,259","515,948","85,309","58,531","22,253","1,685","13,533","572,547","445,128","60,558","40,776","17,380","1,436","7,269"
Florida 14th,FL-14,Democratic,Kathy,Castor,(KATH-ee KAST-ur),/'kæ.θi 'kæ.stəɹ/,2006,1966,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,61.8,38.2,      Redrawn,,      Redrawn,,57.2,39.0,57.6,41.2,58.1,40.9,52.1,16.4,25.8,3.9,0.2,1.6,35.3 ,129 ,46.5 ,83 ,"$51,410",281,,,,101,"330,433","188,870","128,797",100,57.6,41.2,100.0,58.1,40.9,"316,877","195,789","121,088",0,,,,,,,,,,,"699,039","340,252","125,058","190,290","27,136","1,469","14,834","540,408","281,502","88,675","139,462","21,044","1,192","8,533"
Florida 15th,FL-15,Republican,Dennis,Ross,(DEN-iss RAWS),/'dɛ.nɪs ɹɔs/,2010,1959,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,42.5,57.5,      Redrawn,,      Redrawn,,43.1,53.1,46.6,52.2,46.7,52.1,67.3,12.3,16.1,2.6,0.3,1.4,25.8 ,279 ,27.3 ,308 ,"$53,784",244,,,,102,"334,518","144,225","177,635",100,46.6,52.2,100.0,46.7,52.1,"318,474","135,475","182,999",0,,,,,,,,,,,"704,327","445,708","93,944","129,668","18,080","2,121","14,806","533,364","358,784","65,689","85,793","13,726","1,656","7,716"
Florida 16th,FL-16,Republican,Vern,Buchanan,(VERN BYOO-kan-uhn),/vɜɹn 'bju.kæ.nən/,2006,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,40.2,59.8,      Redrawn,,      Redrawn,,43.0,53.7,45.1,53.7,47.7,51.2,78.2,6.6,12.3,1.7,0.2,0.9,30.7 ,184 ,33.2 ,220 ,"$55,447",225,,,,103,"396,807","170,442","213,271",100,45.1,53.7,100.0,47.7,51.2,"385,916","155,262","230,654",0,,,,,,,,,,,"698,285","512,728","54,263","107,028","12,118","1,435","10,713","555,284","434,488","36,859","68,393","9,199","1,122","5,223"
Florida 17th,FL-17,Republican,Tom,Rooney,(TAHM ROO-nee),/tɑm 'ɹu.ni/,2008,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,34.2,61.8,      Redrawn,,      Redrawn,,35.0,62.2,41.3,57.6,43.9,54.7,80.1,6.3,11.4,1.1,0.3,0.8,21.3 ,363 ,23.2 ,388 ,"$45,508",365,,,,104,"353,861","123,919","220,156",100,41.3,57.6,100.0,43.9,54.7,"338,675","115,974","209,348","13,353",,,,,,,,,,,"694,462","527,934","49,044","98,462","7,898","2,357","8,767","563,830","451,382","35,688","64,393","6,113","1,726","4,528"
Florida 18th,FL-18,Republican,Brian,Mast,(BRAHY-uhn MAST),/'bɹaɪ.ən mæst/,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Open - Ran for Senate and lost,43.1,53.6,      Redrawn,,      Redrawn,,44.1,53.3,47.7,51.4,51.2,47.9,74.2,10.5,12.2,1.8,0.2,1.1,30.5 ,188 ,33.6 ,212 ,"$54,913",231,,,,105,"382,474","168,558","203,771",100,47.7,51.4,100.0,51.2,47.9,"375,918","161,918","201,488","12,512",,,,,,,,,,,"699,427","490,338","84,043","99,561","12,911","1,339","11,235","557,944","414,197","58,602","67,959","10,022","1,002","6,162"
Florida 19th,FL-19,Republican,Francis,Rooney,(FRANN-sis ROO-nee),/'fɹæn.sɪs 'ɹu.ni/,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,34.1,65.9,32.7,64.6,36.6,63.4,37.5,59.6,38.7,60.5,42.3,56.8,77.2,5.7,14.8,1.3,0.2,0.9,32.3 ,166 ,37.1 ,170 ,"$54,812",233,24-Jun-14,29.3,66.9,106,"381,158","143,001","227,097",100,38.7,60.5,100.0,42.3,56.8,"363,166","123,812","239,225",129,"246,861","80,824","159,354","6,683","109,746","189,833","99,989","29,314","66,922","3,753","696,429","504,100","48,193","124,310","9,386","1,291","9,149","569,135","439,097","32,411","84,305","7,315","1,001","5,006"
Florida 20th,FL-20,Democratic,Alcee,Hastings,(AL-see HAY-stingz),/'æl.si 'heɪ.stɪŋgz/,1992,1936,Man,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,80.3,19.7,      Redrawn,,      Redrawn,,80.2,18.1,82.5,17.1,80.9,18.6,25.2,47.5,22.6,2.6,0.2,1.9,19.7 ,391 ,27.2 ,311 ,"$43,677",387,,,,107,"288,811","231,596","52,251",100,82.5,17.1,100.0,80.9,18.6,"277,560","222,914","54,646",0,,,,,,,,,,,"703,209","152,398","353,590","162,452","17,926","1,231","15,612","523,033","131,678","248,635","118,013","13,843",863,"10,001"
Florida 21st,FL-21,Democratic,Lois,Frankel,(LOW-iss FRAYNK-uhl),/'loʊ.ɪs 'fɹeɪŋ.kəl/,2012,1948,Woman,White - Non-Hispanic,Jewish,No,Re-elected,62.7,35.1,      Redrawn,,      Redrawn,,58.6,39.1,60.4,38.9,63.4,35.9,66.8,11.7,17.8,2.3,0.1,1.2,34.3 ,135 ,40.5 ,132 ,"$55,864",219,,,,108,"351,661","206,239","137,490",100,60.4,38.9,100.0,63.4,35.9,"335,861","210,606","118,038","7,217",,,,,,,,,,,"689,378","429,055","93,851","137,674","16,422","1,175","11,201","554,416","370,463","65,059","98,822","12,519",820,"6,733"
Florida 22nd,FL-22,Democratic,Ted,Deutch,(TED DOYCH),/tɛd dɔɪtʃ/,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Re-elected,58.9,41.1,      Redrawn,,      Redrawn,,56.8,41.0,56.3,43.0,58.3,41.0,67.5,11.2,16.6,2.8,0.1,1.8,37.9 ,94 ,43.2 ,107 ,"$60,159",183,,,,109,"356,482","202,355","146,228",100,56.3,43.0,100.0,58.3,41.0,"337,850","199,113","138,737",0,,,,,,,,,,,"693,643","443,788","89,626","124,060","19,871","1,019","15,279","562,571","379,522","63,226","93,268","15,581",804,"10,170"
Florida 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,(DEB-ee WAH-ser-min SHUHLTS),/'dɛ.bi 'wɑ.səɹ.mɪn ʃʌlts/,2004,1966,Woman,White - Non-Hispanic,Jewish,No,Re-elected,56.7,40.5,      Redrawn,,      Redrawn,,61.9,35.8,61.4,38.0,62.0,37.3,51.1,11.6,31.9,3.6,0.2,1.6,38.6 ,91 ,39.7 ,143 ,"$61,513",162,,,,110,"337,782","209,079","120,967",100,61.4,38.0,100.0,62.0,37.3,"323,120","183,225","130,818","9,077",,,,,,,,,,,"695,383","340,184","86,158","228,644","25,349","1,595","13,453","542,450","277,370","62,833","172,906","19,661","1,095","8,585"
Florida 24th,FL-24,Democratic,Frederica,Wilson,(FRED-rick-uh WILL-suhn),/'fɹɛd.ɹɪ.kə 'wɪl.sən/,2010,1942,Woman,Black - African-American,Christian - Episcopalian,No,Re-elected,100,0,      Redrawn,,      Redrawn,,82.9,15.4,85.7,13.9,84.0,15.6,13.9,45.9,36.9,1.5,0.1,1.5,19.4 ,393 ,35.9 ,184 ,"$38,441",422,,,,111,"265,174","219,783","40,817",100,85.7,13.9,100.0,84.0,15.6,0,0,0,0,,,,,,,,,,,"697,844","89,549","337,273","248,912","9,792","1,040","11,278","530,066","73,855","243,559","195,840","8,031",714,"8,067"
Florida 25th,FL-25,Republican,Mario,Diaz-Balart,(MAR-ee-oh DEE-azz buh-LART),/'mɑ.ɹi.oʊ 'di.æz bə.'lɑɹt/,2002,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,37.6,62.4,      Redrawn,,      Redrawn,,47.9,49.7,44.9,54.5,40.6,58.8,20.0,3.6,74.9,1.0,0.1,0.4,22.7 ,338 ,33.9 ,206 ,"$46,247",359,,,,112,"264,353","126,668","131,319",100,44.9,54.5,100.0,40.6,58.8,"253,240","95,319","157,921",0,,,,,,,,,,,"692,920","138,922","26,970","515,366","6,792","1,124","3,746","540,846","108,301","19,364","404,871","5,353",741,"2,216"
Florida 26th,FL-26,Republican,Carlos,Curbelo,"(KAR-lohs ker-BEL-oh) [first R is trilled, first O unrounded]",/'kɑr.los kəɹ.'bɛ.loʊ/,2014,1980,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,41.2,53.0,      Redrawn,,      Redrawn,,56.8,40.5,55.4,43.9,51.5,47.9,18.9,10.0,68.3,1.7,0.1,1.0,27.2 ,251 ,32.8 ,227 ,"$54,453",238,,,,113,"289,225","164,252","117,205",100,55.4,43.9,100.0,51.5,47.9,"280,542","115,493","148,547","16,502",,,,,,,,,,,"696,241","127,112","77,216","472,680","11,026",748,"7,459","530,119","100,427","53,191","362,064","8,826",561,"5,050"
Florida 27th,FL-27,Republican,Ileana,Ros-Lehtinen,(ill-ee-AH-nuh RAWS LAYT-nin),/ˌɪ.li.'ɑ.nə ɹɔs 'leɪt.nɪn/,1988,1952,Woman,Hispanic - Cuban,Christian - Episcopalian,No,Re-elected,45.1,54.9,0,100.0,      Redrawn,,58.5,38.9,53.0,46.3,50.1,49.3,24.0,4.0,69.1,1.9,0.1,0.9,37.5 ,98 ,63.8 ,18 ,"$51,958",267,,,,114,"297,564","174,132","115,814",100,53.0,46.3,100.0,50.1,49.3,"287,677","129,760","157,917",0,,,,,,,,,,,"698,036","169,539","29,143","479,637","12,576",435,"6,706","569,381","136,921","22,897","393,720","10,637",339,"4,867"
Georgia 1st,GA-01,Republican,Buddy,Carter,(BUH-dee CAR-ter),/'bʌ.ɾi 'kɑɹ.ɾəɹ/,2014,1957,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,0,100,39.1,60.9,37.0,63.0,40.9,56.4,43.0,55.9,44.4,55.0,63.7,28.1,4.9,1.8,0.3,1.3,25.0 ,294 ,28.2 ,301 ,"$50,931",290,,,,115,"269,568","110,190","151,996","260,148","111,949","145,460","261,140","116,029","143,603","210,243",0,"210,243",0,"156,512","61,175","95,337",0,"92,399","157,181",,,,,"691,918","419,688","205,123","39,664","11,689","1,980","13,774","518,703","330,246","145,605","25,606","9,097","1,556","6,593"
Georgia 2nd,GA-02,Democratic,Sanford,Bishop,(SAN-ferd BISH-up),/'sæn.fəɹd 'bɪ.ʃəp/,1992,1947,Man,Black - African-American,Christian - Baptist,No,Re-elected,61.2,38.8,59.2,40.8,63.8,36.2,55.0,43.3,58.6,40.8,57.9,41.6,45.0,48.6,4.0,1.1,0.3,0.9,17.6 ,409 ,22.1 ,399 ,"$35,617",429,,,,116,"248,103","136,455","107,361","262,837","153,998","107,242","269,039","155,809","112,005","242,599","148,543","94,056",0,"162,900","96,363","66,537",0,"162,751","92,410",,,,,"690,937","288,405","352,193","31,536","7,553","1,677","9,573","515,612","232,073","250,833","20,798","5,833","1,319","4,756"
Georgia 3rd,GA-03,Republican,Drew,Ferguson,(JROO FER-guh-suhn),/dʒɹu 'fɜɹ.gə.sən/,2016,1966,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Retired,31.7,68.3,0,100.0,0,100,32.8,64.3,33.0,65.9,34.0,65.3,71.0,21.7,4.3,1.6,0.3,1.0,26.5 ,264 ,28.3 ,297 ,"$56,240",217,,,,117,"311,865","102,155","200,624","296,218","97,746","195,071","296,017","100,498","193,264","303,187","95,969","207,218",0,"156,277",0,"156,277",0,0,"232,380",,,,,"697,477","477,844","158,870","35,149","11,679","1,692","12,243","515,563","366,166","111,992","22,397","8,394","1,295","5,319"
Georgia 4th,GA-04,Democratic,Hank,Johnson,(HAYNK JAHN-suhn),/hæŋk 'dʒɑn.sən/,2006,1954,Man,Black - African-American,Buddhist - Soka Gakkai,No,Re-elected,75.7,24.3,100,0,73.6,26.4,75.3,22.2,73.6,25.6,73.2,26.3,31.1,54.7,8.0,4.5,0.2,1.5,29.8 ,206 ,38.1 ,158 ,"$51,686",275,,,,118,"298,663","224,907","66,433","296,933","218,499","75,951","308,702","225,977","81,136","290,739","220,146","70,593",0,"161,211","161,211",0,0,"208,861","75,041",,,,,"692,084","190,587","392,460","63,141","30,367","1,350","14,179","504,112","156,967","275,552","40,166","22,748",959,"7,720"
Georgia 5th,GA-05,Democratic,John,Lewis,(JAHN LOO-iss),/dʒɑn 'lu.ɪs/,1986,1940,Man,Black - African-American,Christian - Baptist,No,Re-elected,84.4,15.6,100,0,84.4,15.6,85.0,11.9,83.1,15.8,84.4,15.0,31.4,56.0,6.9,4.0,0.2,1.5,42.0 ,64 ,70.5 ,8 ,"$48,269",337,,,,119,"305,754","259,805","36,385","290,359","241,217","45,887","311,008","262,388","46,724","300,549","253,781","46,768",0,"170,326","170,326",0,0,"234,330","43,335",,,,,"689,901","192,780","403,808","54,552","25,155","1,324","12,282","539,971","169,333","302,354","37,161","21,719","1,079","8,325"
Georgia 6th,GA-06,Republican,Karen,Handel,(KAIR-en HAN-duhl),/'kɛ.ɹɛn hæn.dəl/,2017 Special,1962,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,38.3,61.7,34.0,66.0,35.5,64.5,46.8,48.3,37.5,60.8,40.1,59.0,64.9,12.1,12.0,9.2,0.1,1.7,60.6 ,6 ,66.7 ,11 ,"$87,139",34,20-Jun-17,48.2,51.8,120,"331,246","155,077","160,022","307,096","115,017","186,807","300,950","120,560","177,477","326,005","124,917","201,088",0,"210,504","71,486","139,018",0,"104,365","189,669","260,316","125,517","134,799",0,"692,704","433,874","84,022","92,523","65,757","1,088","15,440","519,945","337,499","62,792","62,367","47,906",774,"8,607"
Georgia 7th,GA-07,Republican,Rob,Woodall,(RAHB WOOD-awl),/ɹɑb 'wʊ.ɾɔl/,2010,1970,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,39.6,60.4,34.6,65.4,37.8,62.2,44.8,51.1,38.3,60.2,39.1,60.1,52.9,16.7,16.9,11.8,0.2,1.5,39.6 ,83 ,44.9 ,92 ,"$72,481",79,,,,121,"294,972","132,012","150,845","263,742","101,065","158,854","253,576","99,165","152,310","288,301","114,220","174,081",0,"173,669","60,112","113,557",0,"95,377","156,689",,,,,"691,120","342,977","121,398","131,041","79,630","1,277","14,797","489,192","258,577","81,701","82,793","57,940",903,"7,278"
Georgia 8th,GA-08,Republican,Austin,Scott,(AW-stin SKAHT),/'ɔ.stɪn skɑt/,2010,1969,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,32.4,67.6,0,100.0,0,100,34.4,63.3,37.5,61.6,37.8,61.6,64.6,28.0,4.9,1.4,0.3,0.9,21.8 ,354 ,24.8 ,355 ,"$44,360",380,,,,122,"265,514","91,360","168,193","265,963","99,677","163,908","264,482","100,004","162,850","257,208","83,225","173,983",0,"129,938",0,"129,938",0,0,"197,789",,,,,"691,161","427,469","203,187","39,682","9,300","1,684","9,839","517,611","334,541","144,744","25,178","7,058","1,328","4,762"
Georgia 9th,GA-09,Republican,Doug,Collins,(DUHG KAH-linz),/dʌg 'kɑ.lɪnz/,2012,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,100,19.3,80.7,23.8,76.2,19.3,77.8,20.5,78.1,24.3,74.7,82.6,6.3,9.0,1.1,0.2,0.8,21.6 ,358 ,24.0 ,373 ,"$50,154",306,,,,123,"297,215","57,468","231,194","265,551","54,388","207,498","265,060","64,381","198,004","256,535",0,"256,535",0,"181,047","34,988","146,059",0,"60,052","192,101",,,,,"693,832","550,911","45,124","79,806","7,866","1,660","8,465","522,084","431,282","32,849","46,827","5,558","1,301","4,267"
Georgia 10th,GA-10,Republican,Jody,Hice,(JO-dee HICE),/'dʒoʊ.ɾi haɪs/,2014,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,100,33.5,66.5,0,100,35.8,61.3,36.3,62.5,38.8,60.4,69.2,23.6,4.0,2.0,0.2,1.0,26.7 ,260 ,30.4 ,265 ,"$51,532",278,,,,124,"315,073","112,691","193,030","294,851","107,039","184,160","292,252","113,346","176,532","243,725",0,"243,725",0,"196,480","65,777","130,703",0,0,"211,065",,,,,"689,234","460,154","170,940","32,508","13,979","1,312","10,341","519,419","359,358","122,823","20,617","10,592",996,"5,033"
