District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Arizona 1st,AZ-01,Democratic,Tom,O'Halleran,(TAHM oh-HAL-er-uhn),/tɑm oʊ.'hæ.lɜ.ɹən,2016,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate and lost,50.7,43.4,52.6,47.4,51.9,48.1,46.6,47.7,47.9,50.4,47.8,51.0,56.2,2.1,18.1,1.8,20.5,1.3,24.5 ,304 ,34.2 ,199 ,"$50,537",302,,,,9,"284,973","132,874","135,928","260,056","124,550","131,115","257,294","123,079","131,208","280,710","142,219","121,745","16,746","185,114","97,391","87,723",0,"122,774","113,594",,,,,"710,224","361,485","14,687","147,846","11,190","162,087","12,929","522,309","293,758","11,113","94,295","9,180","107,182","6,781"
Arizona 2nd,AZ-02,Republican,Martha,McSally,(MAR-thuh mik-SAL-ee),/'mɑɹ.θə mɪk.'sæ.li/,2014,1966,Woman,White - Non-Hispanic,Christian - Protestant,No,Re-elected,43.0,57.0,49.9,50.0,50.4,49.6,49.6,44.7,48.4,49.9,48.9,49.8,69.2,3.5,21.7,3.0,0.9,1.7,34.0 ,141 ,38.8 ,150 ,"$49,072",326,,,,10,"315,839","156,676","141,196","299,691","144,966","149,651","308,531","150,877","153,747","315,679","135,873","179,806",0,"219,351","109,543","109,704",104,"147,338","144,884",,,,,"710,224","457,249","25,861","183,537","20,664","6,472","16,441","558,252","386,563","19,389","121,379","16,686","4,899","9,336"
Arizona 3rd,AZ-03,Democratic,Raúl,Grijalva,(rah-OOL gree-HAL-vuh) [Rs are trilled],/rɑ.'ul gri.'hæl.və/,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,88.1,0,55.7,44.2,61.1,38.9,62.4,32.5,61.4,36.9,58.2,40.7,34.6,3.9,55.2,2.1,3.1,1.2,16.5 ,416 ,26.9 ,314 ,"$44,224",381,,,,11,"208,934","130,466","67,952","177,248","108,902","65,482","176,761","102,818","71,980","169,135","148,973",0,"20,162","104,428","58,192","46,185",51,"98,468","62,663",,,,,"710,224","206,608","27,375","430,398","12,954","22,441","10,448","497,743","172,005","19,441","274,610","10,419","15,302","5,966"
Arizona 4th,AZ-04,Republican,Paul,Gosar,(PAWL GOH-sar),/pɔl 'goʊ.sɑɹ/,2010,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.5,71.5,25.8,70.0,29.8,70.2,27.5,67.7,31.0,67.2,34.4,64.2,79.7,1.5,14.5,1.2,1.8,1.3,19.2 ,398 ,20.5 ,414 ,"$49,466",322,,,,12,"298,483","82,192","202,043","258,046","80,035","173,394","251,086","86,346","161,163","284,783","81,296","203,487",0,"175,179","45,179","122,560","7,440","69,154","162,907",,,,,"710,224","538,609","11,065","127,216","8,356","12,667","12,311","556,383","443,629","8,123","80,797","6,662","10,146","7,026"
Arizona 5th,AZ-05,Republican,Andy,Biggs,(ANN-dee BIGZ),/'æn.di bɪgz/,2016,1958,Man,White - Non-Hispanic,Christian - Mormon,No,Open - Retired,35.9,64.1,30.4,69.6,32.8,67.2,36.5,57.6,34.6,63.8,36.3,62.6,76.8,2.8,14.0,4.4,0.8,1.3,36.0 ,119 ,37.5 ,164 ,"$71,693",82,,,,13,"332,093","121,280","191,432","293,748","101,511","187,304","286,711","104,014","179,566","320,124","114,940","205,184",0,"179,463","54,596","124,867",0,"89,589","183,470",,,,,"710,224","518,678","20,369","118,907","31,210","6,041","15,019","512,943","394,037","14,141","71,636","22,337","4,087","6,705"
Arizona 6th,AZ-06,Republican,David,Schweikert,(DAY-vid SHWAHY-kert),/'deɪ.vɪd 'ʃwaɪ.kəɹt/,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.9,62.1,35.1,64.9,35.2,64.8,42.4,52.4,38.8,59.5,41.2,57.7,79.2,2.3,12.3,3.6,1.4,1.3,45.4 ,40 ,48.5 ,72 ,"$67,830",114,,,,14,"338,331","143,571","177,332","313,417","121,661","186,537","316,599","130,426","182,747","324,444","122,866","201,578",0,"199,776","70,198","129,578",0,"97,666","179,706",,,,,"710,224","534,954","16,932","107,938","25,771","11,141","13,488","554,574","439,087","12,503","68,057","19,933","7,677","7,317"
Arizona 7th,AZ-07,Democratic,Ruben,Gallego,(ROO-bin GUY-ay-goh),/'ɹu.bɪn 'gaɪ.eɪ.go/,2014,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Re-elected,75.2,24.7,74.9,0,100,0,71.8,22.6,71.7,26.5,64.7,34.1,26.7,9.0,58.2,2.8,2.1,1.3,14.0 ,427 ,26.5 ,322 ,"$40,991",409,,,,15,"164,399","117,958","37,232","140,907","101,028","37,353","132,868","85,991","45,289","158,811","119,465","39,286",60,"72,454","54,235",0,"18,219","104,489",0,,,,,"710,224","148,948","61,376","457,064","17,438","13,930","11,468","474,491","126,628","42,663","275,963","13,180","9,742","6,315"
Arizona 8th,AZ-08,Vacant (R),,,,,,,,,,,Re-elected,0,68.5,0,75.8,35.6,64.4,37.0,58.1,36.9,61.7,38.4,60.6,76.1,3.6,15.1,3.2,0.7,1.3,29.4 ,214 ,31.3 ,245 ,"$61,754",159,,,,16,"327,325","120,992","190,163","291,126","107,335","179,555","288,189","110,610","174,516","298,971",0,"204,942","94,029","169,776",0,"128,710","41,066","95,635","172,809",,,,,"710,225","509,305","27,059","131,226","23,104","5,003","14,528","536,590","408,385","19,155","81,076","17,325","3,619","7,030"
Arizona 9th,AZ-09,Democratic,Kyrsten,Sinema,(KEER-sten SIN-eh-muh),/'kɪəɹ.stɛn 'sɪ.nɛ.mə/,2012,1976,Woman,White - Non-Hispanic,Unaffiliated,Bisexual,Re-elected,60.9,39.0,54.7,41.9,52.2,47.8,54.7,38.4,51.1,46.6,51.3,47.4,64.4,4.7,22.4,4.5,2.3,1.7,37.5 ,98 ,44.7 ,94 ,"$55,349",226,,,,17,"283,863","155,158","109,123","264,563","135,244","123,263","274,042","140,546","129,894","277,507","169,055","108,350",102,"162,062","88,609","67,841","5,612","121,881","111,630",,,,,"710,224","419,811","34,377","191,017","30,781","17,644","16,594","549,718","353,803","25,721","123,390","24,795","12,553","9,456"
Arkansas 1st,AR-01,Republican,Rick,Crawford,(RICK KRAW-ferd),/ɹɪk 'kɹɔ.fəɹd/,2010,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,76.3,32.4,63.3,41.0,59.0,30.2,65.0,36.3,61.0,39.2,58.0,79.5,16.4,2.3,0.5,0.4,0.9,16.5 ,416 ,17.6 ,428 ,"$40,492",415,,,,18,"260,717","78,688","169,438","253,460","92,086","154,549","262,118","102,670","151,918","241,047",0,"183,866","57,181","196,256","63,555","124,139","8,562","96,601","138,800",,,,,"728,765","561,127","131,685","20,302","3,816","2,841","8,994","553,023","439,894","90,634","12,457","2,954","2,231","4,853"
Arkansas 2nd,AR-02,Republican,French,Hill,(FRENCH HILL),/fɹɛntʃ hɪl/,2014,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.8,58.3,43.6,51.9,41.7,58.3,41.7,52.4,42.9,54.7,44.3,53.8,73.4,19.6,4.0,1.4,0.4,1.1,30.0 ,203 ,32.5 ,228 ,"$49,498",321,,,,19,"306,974","127,883","160,782","292,515","125,527","160,140","293,250","129,888","157,732","302,464","111,347","176,472","14,645","237,330","103,477","123,073","10,780","113,156","158,175",,,,,"729,192","512,941","155,352","35,048","10,421","3,117","12,313","553,609","406,362","108,270","22,315","7,972","2,387","6,303"
Arkansas 3rd,AR-03,Republican,Steve,Womack,(STEEV WOH-mack),/stiv 'woʊ.mæk/,2010,1957,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,77.3,0,79.4,0,100,30.5,61.9,31.6,65.5,33.9,63.9,81.8,2.4,10.0,2.9,1.3,1.6,26.9 ,256 ,28.8 ,286 ,"$47,903",340,,,,20,"292,163","89,081","180,921","257,668","81,413","168,703","253,566","85,866","161,902","280,907",0,"217,192","63,715","190,935",0,"151,630","39,305",0,"186,467",,,,,"728,959","569,478","18,752","92,851","22,190","9,591","16,097","541,997","443,612","13,066","54,056","15,601","6,814","8,848"
Arkansas 4th,AR-04,Republican,Bruce,Westerman,(BROOS WEST-er-muhn),/bɹus 'wɛ.stəɹ.mən/,2014,1967,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,0,74.9,42.6,53.7,38.1,61.9,31.3,64.2,35.9,61.8,37.4,59.9,75.4,18.3,4.0,0.6,0.6,1.0,15.8 ,420 ,17.0 ,430 ,"$39,586",420,,,,21,"270,781","84,842","173,731","265,825","95,383","164,352","277,684","103,886","166,465","244,159",0,"182,885","61,274","206,131","87,742","110,789","7,600","95,013","154,149",,,,,"729,002","529,923","141,313","37,849","4,729","4,634","10,554","555,814","419,039","101,917","22,266","3,434","3,444","5,714"
California 1st,CA-01,Republican,Doug,LaMalfa,(DUHG luh-MAL-fuh),/dʌg lə.'mæl.fə/,2012,1960,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,40.9,59.1,39.0,61.0,42.6,57.4,36.5,56.2,40.3,56.6,44.0,56.0,82.1,1.3,9.9,2.3,1.8,2.6,23.7 ,319 ,25.7 ,342 ,"$47,488",345,,,,22,"313,968","114,727","176,358","303,928","122,379","171,902","316,882","139,522","177,360","314,036","128,588","185,448",0,"216,372","84,320","132,052",0,"125,386","168,827",,,,,"704,304","556,527","9,075","84,890","17,617","13,263","22,932","555,171","455,854","7,455","55,094","12,852","9,745","14,171"
California 2nd,CA-02,Democratic,Jared,Huffman,(JAIR-ed HUHF-muhn),/'dʒɛ.ɹɛd 'hʌf.mən/,2012,1964,Man,White - Non-Hispanic,Unknown,No,Re-elected,76.9,23.1,75.0,25.0,71.2,28.8,69.0,23.3,69.0,27.0,73.7,26.3,76.2,1.7,14.1,3.6,1.9,2.5,40.8 ,74 ,45.9 ,87 ,"$66,604",123,,,,23,"344,971","238,157","80,545","333,442","230,212","89,908","346,706","255,585","91,121","330,766","254,194","76,572",0,"217,524","163,124","54,400",0,"226,216","91,310",,,,,"701,504","510,654","11,090","116,747","24,899","14,751","23,363","554,173","422,538","9,268","78,130","19,890","10,399","13,948"
California 3rd,CA-03,Democratic,John,Garamendi,(JAHN gair-uh-MEN-dee),/dʒɑn ˌgɛ.ɹə.'mɛn.di/,2009 Special,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,59.4,40.6,52.7,47.3,54.2,45.8,53.0,40.4,54.3,43.1,56.1,43.9,55.1,6.0,23.6,11.2,0.9,3.3,25.1 ,290 ,28.5 ,292 ,"$61,508",163,,,,24,"262,086","138,882","105,860","241,687","131,237","104,145","248,574","139,554","109,020","256,966","152,513","104,453",0,"150,260","79,224","71,036",0,"126,882","107,086",,,,,"702,044","356,604","40,957","194,579","73,565","6,199","30,140","525,021","289,176","31,514","123,713","58,628","4,659","17,331"
California 4th,CA-04,Republican,Tom,McClintock,(TAHM mu-KLIN-tahk),/tɑm mə.'klɪn.tɑk/,2008,1956,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,37.3,62.7,0,100.0,38.9,61.1,39.3,54.0,39.5,57.9,44.5,55.5,81.0,1.2,10.4,4.0,1.0,2.3,33.3 ,156 ,33.7 ,210 ,"$74,074",73,,,,25,"353,388","138,790","190,924","337,634","133,473","195,386","337,328","149,979","187,349","350,978","130,845","220,133",0,"211,134",0,"211,134",0,"125,885","197,803",,,,,"701,728","548,837","8,267","86,784","28,965","7,314","21,561","543,649","440,426","6,626","56,547","21,935","5,584","12,531"
California 5th,CA-05,Democratic,Mike,Thompson,(MIKE TAHMP-suhn),/maɪk 'tɑmp.sən/,1998,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,76.9,23.1,75.7,0,74.5,25.5,69.2,24.3,69.7,27.5,72.5,27.5,57.8,6.2,21.5,11.3,0.6,2.6,31.2 ,175 ,37.5 ,164 ,"$73,006",77,,,,26,"305,052","210,950","74,088","286,658","199,924","78,703","297,778","215,794","81,984","292,091","224,526","67,565",0,"171,148","129,613",0,"41,535","202,872","69,545",,,,,"706,154","373,331","45,269","181,046","77,273","4,349","24,886","547,233","316,081","34,010","117,611","61,790","3,388","14,353"
California 6th,CA-06,Democratic,Doris,Matsui,(DOR-iss matt-SOO-ee),/'dɔ.ɹɪs mæt.'su.i/,2005 Special,1944,Woman,Asian - Japanese,Christian - Methodist,No,Re-elected,75.4,24.6,72.7,27.3,75.1,24.9,69.2,24.4,69.1,28.3,69.8,30.2,43.7,12.1,23.3,16.4,0.6,3.7,27.5 ,248 ,36.6 ,175 ,"$51,932",268,,,,27,"243,910","168,687","59,549","225,831","156,141","63,862","233,485","162,876","70,609","235,413","177,565","57,848",0,"133,456","97,008","36,448",0,"160,667","53,406",,,,,"702,413","272,613","88,367","189,643","113,647","4,236","33,907","520,901","227,625","63,260","121,584","85,552","3,357","19,523"
California 7th,CA-07,Democratic,Ami,Bera,(AH-mee BEAR-uh),/'ɑ.mi 'bɛ.ɹə/,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,51.2,48.8,50.4,49.6,51.7,48.3,52.3,40.9,50.8,46.8,52.7,47.3,61.4,7.0,13.6,14.1,0.5,3.3,32.9 ,160 ,34.1 ,201 ,"$68,735",106,,,,28,"304,118","159,066","124,249","285,997","145,147","133,888","289,764","152,833","136,931","297,301","152,133","145,168",0,"183,587","92,521","91,066",0,"141,241","132,050",,,,,"698,200","400,468","51,089","112,087","99,245","3,575","31,736","521,668","320,465","36,698","71,114","73,359","2,796","17,236"
California 8th,CA-08,Republican,Paul,Cook,(PAWL COOK),/pɔl kʊk/,2012,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.7,62.3,32.4,67.6,0,100,39.6,54.7,41.7,55.6,43.5,56.5,56.0,7.1,30.3,3.5,1.1,2.2,17.1 ,411 ,20.6 ,412 ,"$49,194",325,,,,29,"232,835","92,234","127,464","212,633","88,579","118,278","215,336","93,727","121,609","220,007","83,035","136,972",0,"114,536","37,056","77,480",0,0,"179,644",,,,,"704,301","352,877","53,306","249,040","22,288","6,914","19,876","504,172","282,090","35,578","152,682","17,547","5,367","10,908"
California 9th,CA-09,Democratic,Jerry,McNerney,(JAIR-ee mick-NER-nee),/'dʒɛ.ɹi mɪk.'nɜɹ.ni/,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,57.4,42.6,52.4,47.6,55.6,44.4,56.6,38.0,57.8,40.1,58.0,42.0,42.0,8.1,32.6,14.2,0.5,2.7,19.1 ,400 ,24.4 ,367 ,"$61,454",164,,,,30,"238,191","134,719","90,484","220,312","127,418","88,403","215,574","125,050","90,524","232,155","133,163","98,992",0,"121,204","63,475","57,729",0,"118,373","94,704",,,,,"702,985","259,204","58,406","261,012","96,447","3,180","24,736","498,183","209,238","40,215","162,433","70,555","2,460","13,282"
California 10th,CA-10,Republican,Jeff,Denham,(JEFF DEN-um),/dʒɛf 'dɛn.əm,2010,1967,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,48.3,51.7,43.9,56.1,47.3,52.7,48.5,45.5,50.6,47.0,51.4,48.6,51.8,3.3,34.8,6.9,0.6,2.6,16.6 ,415 ,21.0 ,411 ,"$60,235",182,,,,31,"239,680","116,335","109,145","215,113","108,923","101,160","216,202","111,201","105,001","241,141","116,470","124,671",0,"125,705","55,123","70,582",0,"98,934","110,265",,,,,"704,763","327,195","22,872","282,246","46,451","3,772","22,227","501,640","259,974","16,522","174,810","34,451","3,016","12,867"
California 11th,CA-11,Democratic,Mark,DeSaulnier,(MARK duh-SOWN-yay),/mɑɹk də.'soʊn.jeɪ/,2014,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,72.1,27.9,67.3,32.7,69.7,30.3,71.5,22.7,67.6,30.0,70.7,29.3,52.3,8.8,22.1,13.7,0.3,2.8,43.6 ,53 ,56.5 ,35 ,"$86,000",35,,,,32,"312,568","223,559","70,869","301,134","203,699","90,226","306,269","216,612","89,657","298,209","214,868","83,341",0,"174,662","117,502","57,160",0,"200,743","87,136",,,,,"703,454","340,992","62,761","180,136","90,522","1,750","27,293","536,843","280,764","47,427","118,732","73,394","1,419","15,107"
California 12th,CA-12,Democratic,Nancy,Pelosi,(NANN-see puh-LOW-see),/'næn.si pə.'loʊ.si/,1986,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,80.9,0,83.3,16.7,85.1,14.9,86.2,8.7,84.1,12.5,86.8,13.2,46.3,5.6,13.5,31.5,0.2,2.9,59.5 ,8 ,78.1 ,2 ,"$105,918",9,,,,33,"358,774","309,221","31,158","320,387","269,461","40,003","331,972","288,054","43,918","338,845","274,035",0,"64,810","192,264","160,067","32,197",0,"253,709","44,478",,,,,"704,634","309,837","41,248","103,420","223,176","1,649","25,304","614,229","284,283","34,401","83,033","193,448","1,507","17,557"
California 13th,CA-13,Democratic,Barbara,Lee,(BAR-bruh LEE),/'bɑɹ.bɹə li/,1998 Special,1946,Woman,Black - African-American,Christian - Baptist,No,Re-elected,90.8,9.2,88.5,11.5,100,0,87.4,6.8,87.5,9.0,89.7,10.3,37.4,19.0,18.0,22.1,0.3,3.4,47.2 ,34 ,70.8 ,7 ,"$73,601",74,,,,34,"334,194","291,926","22,743","306,314","268,093","27,474","313,400","281,187","32,213","322,871","293,117","29,754",0,"190,431","168,491","21,940",0,"250,436",0,,,,,"702,076","240,266","134,641","146,220","148,205","2,015","30,729","561,936","210,024","106,546","100,941","123,914","1,673","18,838"
