chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
House,Bob Gibbs,Gibbs,R,OH-7,94.9,29.7,93.6,1.3
House,Susan A. Davis,Davis,D,CA-53,16.9,-34.9,15.8,1.2
House,Paul Mitchell,Mitchell,R,MI-10,94.9,32.2,93.7,1.2
House,Doris O. Matsui,Matsui,D,CA-6,15.3,-44.8,14.1,1.2
House,Bruce Westerman,Westerman,R,AR-4,94.9,32.9,93.8,1.2
House,Keith J. Rothfus,Rothfus,R,PA-12,93.2,20.8,92.1,1.2
House,Sean P. Duffy,Duffy,R,WI-7,93.1,20.5,92,1.1
House,Michael E. Capuano,Capuano,D,MA-7,13.8,-72.2,12.7,1.1
House,Eddie Bernice Johnson,E. Johnson,D,TX-30,14.8,-60.8,13.7,1.1
House,Hakeem S. Jeffries,Jeffries,D,NY-8,13.6,-71.1,12.5,1
House,Carolyn B. Maloney,C. Maloney,D,NY-12,13.8,-69.8,12.8,1
House,Tom McClintock,McClintock,R,CA-4,89.8,14.7,88.9,1
House,Jim Cooper,Cooper,D,TN-5,27.1,-18.4,26.3,0.8
House,Jimmy Gomez,Gomez,D,CA-34,18.2,-72.9,17.4,0.8
House,Trent Franks*,Franks*,R,AZ-8,92.9,21.1,92.1,0.8
House,Frank A. LoBiondo,LoBiondo,R,NJ-2,76.3,4.6,75.5,0.8
House,Robert A. Brady,Brady,D,PA-1,13.6,-61.3,12.9,0.7
House,Al Green,A. Green,D,TX-9,13.6,-61.3,12.9,0.7
House,Tony Cárdenas,Cárdenas,D,CA-29,13.6,-60.9,12.9,0.6
House,Ted Lieu,Lieu,D,CA-33,14.3,-41.3,13.7,0.6
House,Jerrold Nadler,Nadler,D,NY-10,14.3,-59.5,13.7,0.6
House,Diane Black,Black,R,TN-6,94.7,48.9,94.2,0.6
House,Billy Long,Long,R,MO-7,94.2,45.7,93.7,0.6
House,Ryan K. Zinke*,Zinke*,R,MT-AL,100,20.4,99.4,0.6
House,Anthony G. Brown,Brown,D,MD-4,13.8,-58.5,13.3,0.5
House,David E. Price,Price,D,NC-4,15.3,-40,14.7,0.5
