"","member","district","trump_score","tspred","ts.vs.replace","tsvr.rank"
"138","David Loebsack","IA-02",22,25,-3,138
"139","Dina Titus","NV-01",14,17,-3,139
"140","Lois Frankel","FL-21",17,20,-3,140
"141","Steny H. Hoyer","MD-05",14,17,-3,141
"142","Janice D. Schakowsky","IL-09",10,13,-3,142
"143","Juan Vargas","CA-51",12,15,-3,143
"144","Cedric L. Richmond","LA-02",11,14,-3,144
"145","Alma S. Adams","NC-12",14,17,-3,145
"146","Darren Soto","FL-09",20,24,-4,146
"147","Paul Tonko","NY-20",16,19,-4,147
"148","Michelle Lujan Grisham","NM-01",17,21,-4,148
"149","Alcee L. Hastings","FL-20",9,13,-4,149
"150","Linda T. Sánchez","CA-38",14,18,-4,150
"151","Tim Ryan","OH-13",17,21,-4,151
"152","James P. McGovern","MA-02",12,16,-4,152
"153","Jerry McNerney","CA-09",17,21,-4,153
"154","Sean Patrick Maloney","NY-18",24,28,-4,154
"155","Grace F. Napolitano","CA-32",13,18,-4,155
"156","Elizabeth H. Esty","CT-05",20,25,-5,156
"157","Lisa Blunt Rochester","DE-AL",17,22,-5,157
"158","Jared Polis","CO-02",12,17,-5,158
"159","James R. Langevin","RI-02",17,22,-5,159
"160","John Lewis","GA-05",9,13,-5,160
"161","John Garamendi","CA-03",17,22,-5,161
"162","Adriano Espaillat","NY-13",8,14,-5,162
"163","Peter J. Visclosky","IN-01",15,21,-5,163
"164","André Carson","IN-07",12,18,-5,164
"165","Carol Shea-Porter","NH-01",19,24,-5,165
"166","Mark Takano","CA-41",14,19,-5,166
"167","James E. Clyburn","SC-06",12,17,-6,167
"168","Emanuel Cleaver","MO-05",15,21,-6,168
"169","Nita M. Lowey","NY-17",15,21,-6,169
"170","Judy Chu","CA-27",14,19,-6,170
"171","Maxine Waters","CA-43",8,14,-6,171
"172","Kathy Castor","FL-14",17,23,-6,172
"173","Ben Ray Luján","NM-03",15,22,-6,173
"174","Rosa L. DeLauro","CT-03",14,21,-6,174
"175","A. Donald McEachin","VA-04",14,21,-6,175
"176","Jamie Raskin","MD-08",10,17,-7,176
"177","Daniel T. Kildee","MI-05",16,22,-7,177
"178","Joaquin Castro","TX-20",16,22,-7,178
"179","Bennie G. Thompson","MS-02",14,21,-7,179
"180","Matt Cartwright","PA-17",22,30,-7,180
"181","Sander M. Levin","MI-09",14,21,-8,181
"182","Filemon Vela","TX-34",18,25,-8,182
"183","Louise McIntosh Slaughter","NY-25",12,20,-8,183
"184","Theodore E. Deutch","FL-22",14,23,-8,184
"185","Colleen Hanabusa","HI-01",14,22,-9,185
"186","Debbie Wasserman Schultz","FL-23",12,21,-9,186
"187","Richard M. Nolan","MN-08",20,29,-9,187
"188","Bonnie Watson Coleman","NJ-12",8,18,-10,188
"189","Raúl M. Grijalva","AZ-03",8,19,-10,189
"190","Timothy J. Walz","MN-01",19,30,-10,190
"191","Kathleen M. Rice","NY-04",15,26,-10,191
"192","Frank Pallone Jr.","NJ-06",10,24,-14,192
