"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"109","FL-22","Florida 22nd","Democratic","Ted","Deutch","(TED DOYCH)","/tÄ_d dÄîÄÈt_€/","2010 Special",1966,"Man","White - Non-Hispanic","Jewish","No","Re-elected",58.9,41.1,"      Redrawn",NA,"      Redrawn",NA,56.8,41,56.3,43,58.3,41,67.5,11.2,16.6,2.8,0.1,1.8,37.9,94,43.2,107,60159,183,356482,202355,146228,100,56.3,43,100,58.3,41,337850,199113,138737,0,NA,NA,NA,NA,NA,NA,693643,443788,89626,124060,19871,1019,15279,562571,379522,63226,93268,15581,804,10170,167.31,4145.85499970115
"110","FL-23","Florida 23rd","Democratic","Debbie","Wasserman Schultz","(DEB-ee WAH-ser-min SHUHLTS)","/'dÄ_.bi 'wÄï.sÄ»Ä_.mÄÈn _€_ëlts/","2004",1966,"Woman","White - Non-Hispanic","Jewish","No","Re-elected",56.7,40.5,"      Redrawn",NA,"      Redrawn",NA,61.9,35.8,61.4,38,62,37.3,51.1,11.6,31.9,3.6,0.2,1.6,38.6,91,39.7,143,61513,162,337782,209079,120967,100,61.4,38,100,62,37.3,323120,183225,130818,9077,NA,NA,NA,NA,NA,NA,695383,340184,86158,228644,25349,1595,13453,542450,277370,62833,172906,19661,1095,8585,190.26,3654.90907179649
"111","FL-24","Florida 24th","Democratic","Frederica","Wilson","(FRED-rick-uh WILL-suhn)","/'fÄ_Ä_d.Ä_ÄÈ.kÄ» 'wÄÈl.sÄ»n/","2010",1942,"Woman","Black - African-American","Christian - Episcopalian","No","Re-elected",100,0,"      Redrawn",NA,"      Redrawn",NA,82.9,15.4,85.7,13.9,84,15.6,13.9,45.9,36.9,1.5,0.1,1.5,19.4,393,35.9,184,38441,422,265174,219783,40817,100,85.7,13.9,100,84,15.6,0,0,0,0,NA,NA,NA,NA,NA,NA,697844,89549,337273,248912,9792,1040,11278,530066,73855,243559,195840,8031,714,8067,102.33,6819.54461057363
"112","FL-25","Florida 25th","Republican","Mario","Diaz-Balart","(MAR-ee-oh DEE-azz buh-LART)","/'mÄï.Ä_i.o__ 'di.í_z bÄ».'lÄïÄ_t/","2002",1961,"Man","Hispanic - Cuban","Christian - Roman Catholic","No","Re-elected",37.6,62.4,"      Redrawn",NA,"      Redrawn",NA,47.9,49.7,44.9,54.5,40.6,58.8,20,3.6,74.9,1,0.1,0.4,22.7,338,33.9,206,46247,359,264353,126668,131319,100,44.9,54.5,100,40.6,58.8,253240,95319,157921,0,NA,NA,NA,NA,NA,NA,692920,138922,26970,515366,6792,1124,3746,540846,108301,19364,404871,5353,741,2216,3500.99,197.921159443472
"113","FL-26","Florida 26th","Republican","Carlos","Curbelo","(KAR-lohs ker-BEL-oh) [first R is trilled, first O unrounded]","/'kÄïr.los kÄ»Ä_.'bÄ_.lo__/","2014",1980,"Man","Hispanic - Cuban","Christian - Roman Catholic","No","Re-elected",41.2,53,"      Redrawn",NA,"      Redrawn",NA,56.8,40.5,55.4,43.9,51.5,47.9,18.9,10,68.3,1.7,0.1,1,27.2,251,32.8,227,54453,238,289225,164252,117205,100,55.4,43.9,100,51.5,47.9,280542,115493,148547,16502,NA,NA,NA,NA,NA,NA,696241,127112,77216,472680,11026,748,7459,530119,100427,53191,362064,8826,561,5050,2184.68,318.692440082758
"114","FL-27","Florida 27th","Republican","Ileana","Ros-Lehtinen","(ill-ee-AH-nuh RAWS LAYT-nin)","/èëÄÈ.li.'Äï.nÄ» Ä_Äîs 'leÄÈt.nÄÈn/","1988",1952,"Woman","Hispanic - Cuban","Christian - Episcopalian","No","Re-elected",45.1,54.9,"0",100,"      Redrawn",NA,58.5,38.9,53,46.3,50.1,49.3,24,4,69.1,1.9,0.1,0.9,37.5,98,63.8,18,51958,267,297564,174132,115814,100,53,46.3,100,50.1,49.3,287677,129760,157917,0,NA,NA,NA,NA,NA,NA,698036,169539,29143,479637,12576,435,6706,569381,136921,22897,393720,10637,339,4867,113.02,6176.21659883207
"115","GA-01","Georgia 1st","Republican","Buddy","Carter","(BUH-dee CAR-ter)","/'b_ë.Ä_i 'kÄïÄ_.Ä_Ä»Ä_/","2014",1957,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",0,100,"39.1",60.9,"37",63,40.9,56.4,43,55.9,44.4,55,63.7,28.1,4.9,1.8,0.3,1.3,25,294,28.2,301,50931,290,269568,110190,151996,260148,111949,145460,261140,116029,143603,210243,0,210243,0,156512,61175,95337,0,92399,157181,691918,419688,205123,39664,11689,1980,13774,518703,330246,145605,25606,9097,1556,6593,7982.81,86.6759950443516
"116","GA-02","Georgia 2nd","Democratic","Sanford","Bishop","(SAN-ferd BISH-up)","/'sí_n.fÄ»Ä_d 'bÄÈ._€Ä»p/","1992",1947,"Man","Black - African-American","Christian - Baptist","No","Re-elected",61.2,38.8,"59.2",40.8,"63.8",36.2,55,43.3,58.6,40.8,57.9,41.6,45,48.6,4,1.1,0.3,0.9,17.6,409,22.1,399,35617,429,248103,136455,107361,262837,153998,107242,269039,155809,112005,242599,148543,94056,0,162900,96363,66537,0,162751,92410,690937,288405,352193,31536,7553,1677,9573,515612,232073,250833,20798,5833,1319,4756,9626.23,71.7764898615554
"117","GA-03","Georgia 3rd","Republican","Drew","Ferguson","(JROO FER-guh-suhn)","/d_ÍÄ_u 'fÄìÄ_.gÄ».sÄ»n/","2016",1966,"Man","White - Non-Hispanic","Christian - Nondenominational","No","Open - Retired",31.7,68.3,"0",100,"0",100,32.8,64.3,33,65.9,34,65.3,71,21.7,4.3,1.6,0.3,1,26.5,264,28.3,297,56240,217,311865,102155,200624,296218,97746,195071,296017,100498,193264,303187,95969,207218,0,156277,0,156277,0,0,232380,697477,477844,158870,35149,11679,1692,12243,515563,366166,111992,22397,8394,1295,5319,3838.27,181.716502486797
"118","GA-04","Georgia 4th","Democratic","Hank","Johnson","(HAYNK JAHN-suhn)","/hí_Å†k 'd_ÍÄïn.sÄ»n/","2006",1954,"Man","Black - African-American","Buddhist - Soka Gakkai","No","Re-elected",75.7,24.3,"100",0,"73.6",26.4,75.3,22.2,73.6,25.6,73.2,26.3,31.1,54.7,8,4.5,0.2,1.5,29.8,206,38.1,158,51686,275,298663,224907,66433,296933,218499,75951,308702,225977,81136,290739,220146,70593,0,161211,161211,0,0,208861,75041,692084,190587,392460,63141,30367,1350,14179,504112,156967,275552,40166,22748,959,7720,496.6,1393.64478453484
"119","GA-05","Georgia 5th","Democratic","John","Lewis","(JAHN LOO-iss)","/d_ÍÄïn 'lu.ÄÈs/","1986",1940,"Man","Black - African-American","Christian - Baptist","No","Re-elected",84.4,15.6,"100",0,"84.4",15.6,85,11.9,83.1,15.8,84.4,15,31.4,56,6.9,4,0.2,1.5,42,64,70.5,8,48269,337,305754,259805,36385,290359,241217,45887,311008,262388,46724,300549,253781,46768,0,170326,170326,0,0,234330,43335,689901,192780,403808,54552,25155,1324,12282,539971,169333,302354,37161,21719,1079,8325,264.91,2604.28447397229
"120","GA-06","Georgia 6th","Republican","Karen","Handel","(KAIR-en HAN-duhl)","/'kÄ_.Ä_Ä_n hí_n.dÄ»l/","2017 Special",1962,"Woman","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",38.3,61.7,"34",66,"35.5",64.5,46.8,48.3,37.5,60.8,40.1,59,64.9,12.1,12,9.2,0.1,1.7,60.6,6,66.7,11,87139,34,331246,155077,160022,307096,115017,186807,300950,120560,177477,326005,124917,201088,0,210504,71486,139018,0,104365,189669,692704,433874,84022,92523,65757,1088,15440,519945,337499,62792,62367,47906,774,8607,298.76,2318.59686705048
"121","GA-07","Georgia 7th","Republican","Rob","Woodall","(RAHB WOOD-awl)","/Ä_Äïb 'w__.Ä_Äîl/","2010",1970,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",39.6,60.4,"34.6",65.4,"37.8",62.2,44.8,51.1,38.3,60.2,39.1,60.1,52.9,16.7,16.9,11.8,0.2,1.5,39.6,83,44.9,92,72481,79,294972,132012,150845,263742,101065,158854,253576,99165,152310,288301,114220,174081,0,173669,60112,113557,0,95377,156689,691120,342977,121398,131041,79630,1277,14797,489192,258577,81701,82793,57940,903,7278,392.61,1760.3219479891
"122","GA-08","Georgia 8th","Republican","Austin","Scott","(AW-stin SKAHT)","/'Äî.stÄÈn skÄït/","2010",1969,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",32.4,67.6,"0",100,"0",100,34.4,63.3,37.5,61.6,37.8,61.6,64.6,28,4.9,1.4,0.3,0.9,21.8,354,24.8,355,44360,380,265514,91360,168193,265963,99677,163908,264482,100004,162850,257208,83225,173983,0,129938,0,129938,0,0,197789,691161,427469,203187,39682,9300,1684,9839,517611,334541,144744,25178,7058,1328,4762,8711.64,79.3376448062592
"123","GA-09","Georgia 9th","Republican","Doug","Collins","(DUHG KAH-linz)","/d_ëg 'kÄï.lÄÈnz/","2012",1966,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,100,"19.3",80.7,"23.8",76.2,19.3,77.8,20.5,78.1,24.3,74.7,82.6,6.3,9,1.1,0.2,0.8,21.6,358,24,373,50154,306,297215,57468,231194,265551,54388,207498,265060,64381,198004,256535,0,256535,0,181047,34988,146059,0,60052,192101,693832,550911,45124,79806,7866,1660,8465,522084,431282,32849,46827,5558,1301,4267,5210.81,133.152427357743
"124","GA-10","Georgia 10th","Republican","Jody","Hice","(JO-dee HICE)","/'d_Ío__.Ä_i haÄÈs/","2014",1960,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,100,"33.5",66.5,"0",100,35.8,61.3,36.3,62.5,38.8,60.4,69.2,23.6,4,2,0.2,1,26.7,260,30.4,265,51532,278,315073,112691,193030,294851,107039,184160,292252,113346,176532,243725,0,243725,0,196480,65777,130703,0,0,211065,689234,460154,170940,32508,13979,1312,10341,519419,359358,122823,20617,10592,996,5033,7096.22,97.1269210932017
"125","GA-11","Georgia 11th","Republican","Barry","Loudermilk","(BAIR-ee LOUD-er-milk)","/'bÄ_.Ä_i 'la__.Ä_Ä»Ä_.mÄÈlk/","2014",1963,"Man","White - Non-Hispanic","Christian - Baptist","No","Re-elected",32.6,67.4,"0",100,"31.4",68.6,35.3,60.3,31.5,66.9,34.7,64.3,71.5,14.6,9.4,2.8,0.2,1.4,41,72,44.1,98,69610,96,329615,116457,198813,300276,94447,201014,296160,102718,190544,323318,105383,217935,0,161532,0,161532,0,90353,196968,693142,477347,104934,76058,19143,1550,14110,512972,366918,74957,48003,14483,1194,7417,1071.25,647.040373395566
"126","GA-12","Georgia 12th","Republican","Rick","Allen","(RIK AL-en)","/Ä_ÄÈk 'í_.lÄ_n/","2014",1951,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",38.4,61.6,"45.2",54.8,"53.7",46.3,40.7,56.9,43.6,55.4,43.9,55.6,60,32.5,4.5,1.7,0.2,1.1,20.9,369,23.6,381,43933,385,267674,108937,152204,268283,117085,148688,265819,116658,147742,258912,99420,159492,0,166814,75478,91336,0,139148,119973,693660,396283,236068,36902,11267,1602,11538,519454,311535,168625,23397,8999,1268,5630,8185.27,84.7449137291745
"127","GA-13","Georgia 13th","Democratic","David","Scott","(DAY-vid SKAHT)","/'deÄÈ.vÄÈd skÄït/","2002",1946,"Man","Black - African-American","Christian - Baptist","No","Re-elected",100,0,"100",0,"71.7",28.3,71,26.6,69.2,30,67.1,32.3,34.7,52.4,8.6,2.6,0.2,1.4,29.6,209,26,334,57342,202,301238,213936,80157,292880,202794,87785,297602,199839,96244,252833,252833,0,0,159445,159445,0,0,201988,79550,687435,208589,375818,70119,17075,1500,14334,492458,170694,258203,42393,12899,1137,7132,714.95,961.514791244143
"128","GA-14","Georgia 14th","Republican","Tom","Graves","(TAHM GRAYVZ)","/tÄïm gÄ_eÄÈvz/","2010 Special",1970,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,100,"0",100,"27",73,22.1,75,25.3,73.2,27.8,71,82,7.8,8.1,0.9,0.2,0.9,18.1,406,18.5,423,48691,330,255872,56513,191849,232702,58906,170364,239806,66752,170324,216743,0,216743,0,118782,0,118782,0,59245,159947,693048,547012,56855,71008,6384,1583,10206,509005,417325,39916,41299,4637,1215,4613,3623.16,191.282747656742
"129","HI-01","Hawaii 1st","Democratic","Colleen","Hanabusa","(kuh-LEEN hah-nuh-BOO-suh)","/kÄ».'lin èëhÄï.nÄ».'bu.sÄ»/","2016",1951,"Woman","Asian - Japanese","Buddhist - Jodo Shinshu","No","Vacant (Mark Takai) - Died",71.9,22.7,"51.9",48.1,"54.6",45.4,63.1,30.5,69.7,29,70.3,28.3,18.3,1.8,5.7,61,0.2,13.1,36,119,48.9,69,78180,58,209300,132009,63916,216671,151023,62875,222577,156408,63007,202357,145417,45958,10982,179844,93390,86454,0,116505,96824,678064,111982,12047,46905,395455,997,110678,537531,98207,9615,30437,327826,828,70618,209.22,3240.91387056687
"130","HI-02","Hawaii 2nd","Democratic","Tulsi","Gabbard","(TUHL-si GAB-erd)","/'t_ël.si 'gí_.bÄ»Ä_d/","2012",1981,"Woman","Pacific Islander - Samoan","Hindu","No","Re-elected",81.2,18.8,"78.7",18.6,"80.5",19.5,61.4,29.6,71.4,26.7,73.4,24.9,33,1.2,8.7,38,0.3,18.8,27.8,242,42.6,118,70867,89,219637,134882,64931,218026,155635,58140,230991,169463,57559,210516,170848,39668,0,180333,142010,33630,4693,168503,40707,682237,197361,7857,73937,246061,1826,155195,518952,171323,6047,45137,197441,1495,97509,6213.4,109.800914153282
"131","IA-01","Iowa 1st","Republican","Rod","Blum","(RAHD BLUHM)","/Ä_Äïd bl_ëm/","2014",1955,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",46.1,53.7,"48.8",51.1,"57.8",42.2,45.2,48.7,56.2,42.5,58.5,40.4,92.6,2.7,2.5,1.1,0.3,0.7,27.1,253,27.1,312,57402,200,390934,176535,190410,401501,225585,170753,388667,227310,156980,384977,177403,206903,671,289306,141145,147762,399,222422,162465,761548,689523,24450,24970,9042,2447,11116,581256,538410,15917,14320,6621,1726,4262,12048.84,63.2050886226392
"132","IA-02","Iowa 2nd","Democratic","Dave","Loebsack","(DAVE LOHB-sack)","/deÄÈv 'lo__b.sí_k/","2006",1952,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",53.7,46.2,"52.5",47.4,"56.7",43.3,45,49.1,55.8,42.7,57.1,41.6,90.3,2.8,3.8,2,0.2,0.9,28.5,227,28.7,290,52150,265,379959,170796,186384,394310,219946,168534,384369,219565,159959,370032,198571,170933,528,273329,143431,129455,443,211863,161977,761624,671512,25097,36511,14845,1511,12148,584497,527905,16655,21953,11589,1166,5229,12261.92,62.1129480538121
"133","IA-03","Iowa 3rd","Republican","David","Young","(DAY-vid YUHNG","/'deÄÈ.vÄÈd j_ëÅ†Äç/","2014",1968,"Man","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",39.7,53.4,"42.2",52.8,"45.5",54.5,45,48.5,51.4,47.2,52.4,46.3,88.6,3.3,4.7,2.3,0.2,0.9,33.1,158,34.5,194,62323,152,403191,181524,195740,395798,203622,186645,375933,197112,173967,390287,155002,208598,26687,282066,119109,148814,14143,168632,202000,761612,654386,28351,46515,18409,1729,12222,568128,503240,18482,26956,13181,1234,5035,8789.62,86.649024644979
"134","IA-04","Iowa 4th","Republican","Steve","King","(STEEV KING)","/stiv kÄÈÅ†g/","2002",1949,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",38.6,61.2,"38.3",61.6,"45.9",54.1,33.5,60.9,45.3,53.4,48.5,50.2,92.1,1,4.3,1.6,0.3,0.6,24.7,297,24.8,355,53335,249,379900,127401,231229,383129,173391,204685,381114,184953,191473,370259,142993,226719,547,275633,105504,169834,295,169470,200063,761571,685702,9008,43548,12098,2894,8321,584481,538420,6010,25108,9359,1912,3672,22756.75,33.4657189625056
"135","ID-01","Idaho 1st","Republican","Raí_l","Labrador","(ra-OOL LAB-ruh-dor)","/Ä_í_.'ul 'lí_.bÄ_Ä».dÄîÄ_/","2010",1967,"Man","Hispanic - Puerto Rican","Christian - Mormon","No","Re-elected",31.8,68.2,"35",65,"32.8",67.2,25.4,63.7,32.2,64.9,35.1,62.5,87.9,0.4,7.9,1.2,1.2,1.4,25.4,285,26.8,316,52199,262,359661,91284,229034,328258,105645,213080,329856,115925,206273,355357,113052,242252,53,220864,77277,143580,7,97450,199402,784103,668447,3355,78672,9079,9123,15427,571430,502212,2124,45339,6872,6622,8261,39418.02,19.8919935603057
"136","ID-02","Idaho 2nd","Republican","Mike","Simpson","(MIKE SIMP-suhn)","/maÄÈk 'sÄÈmp.sÄ»n/","1998",1950,"Man","White - Non-Hispanic","Christian - Mormon","No","Re-elected",29.4,62.9,"38.6",61.4,"34.8",65.2,29.8,54.5,33.1,64.1,37.1,60.5,85.4,0.6,10.1,1.6,1.1,1.2,30.1,200,32.5,228,51294,283,330594,98481,180021,324016,107142,207831,325176,120515,196739,326237,95940,205292,25005,214293,82801,131492,0,110847,207412,783479,647796,5520,97229,11603,8433,12898,567080,484317,3534,57447,8857,5962,6963,43225.09,18.1255608721694
"137","IL-01","Illinois 1st","Democratic","Bobby","Rush","(BAH-bee RUHSH)","/'bÄï.bi Ä__ë_€/","1992",1946,"Man","Black - African-American","Christian - Protestant","No","Re-elected",74.1,25.9,"73.1",26.9,"73.8",26.2,75.4,21.4,78.9,20.2,80.9,18.6,37.4,52.1,7.4,2,0.1,1,28.9,221,35.9,184,50523,304,326175,245908,69956,332726,262668,67367,356028,288077,66262,315862,234037,81817,8,222017,162268,59749,0,236854,83989,712495,252627,374360,62637,12744,977,9150,533507,199662,277796,39223,10511,725,5590,258.38,2757.54702376345
"138","IL-02","Illinois 2nd","Democratic","Robin","Kelly","(RAH-buhn KELL-ee)","/'Ä_Äï.bÄ»n 'kÄ_.li/","2013 Special",1956,"Woman","Black - African-American","Christian - Nondenominational","No","Re-elected",79.8,20.2,"78.5",21.4,"73.2",26.8,78,19.1,80.7,18.5,81.1,18.3,33.4,53.5,11.1,0.7,0.2,1.1,23.3,326,25,350,48417,334,303622,236726,58024,311173,251147,57674,332652,269943,60734,294522,235051,59471,0,204266,160337,43799,130,188303,69115,713236,210988,394458,91093,4813,1090,10794,522175,174661,279233,57885,3840,803,5753,1080.67,659.994262818437
"139","IL-03","Illinois 3rd","Democratic","Dan","Lipinski","(DAN luh-PIN-skee)","/dí_n lÄ».'pÄÈn.ski/","2004",1966,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",100,0,"64.6",35.4,"68.5",31.5,55.2,39.9,55.9,42.6,58.4,40.5,66.4,4.6,24.4,3.7,0.1,0.8,26.9,256,32.1,236,66270,127,284970,157383,113779,256893,143676,109396,273174,159475,110701,225411,225320,0,91,180855,116764,64091,0,168738,77653,712113,442966,33004,202543,25408,700,7492,530768,352468,24196,129692,19738,524,4150,237.18,3002.41588666835
"140","IL-04","Illinois 4th","Democratic","Luis","Gutierrez","(loo-EES goo-tee-AIR-ez) [R is trilled]","/lu.'is èëgu.ti.'Ä_.rÄ_z/","1992",1953,"Man","Hispanic - Puerto Rican","Christian - Roman Catholic","No","Re-elected",100,0,"78.1",21.9,"83",17,82.1,13.2,80.9,17.1,80.5,18.2,26.2,3.9,65.8,3.1,0.1,0.8,24.5,304,52.8,47,51383,282,209931,172374,27807,169434,137065,28899,180051,144949,32767,171297,171297,0,0,101944,79666,22278,0,133226,27279,714974,153066,28121,507444,18802,796,6745,509233,133575,19903,335187,15680,630,4258,52.45,13631.5347950429
"141","IL-05","Illinois 5th","Democratic","Mike","Quigley","(MIKE KWIG-lee)","/maÄÈk 'kwÄÈ.gli/","2008",1959,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",67.8,27.5,"63.2",30.6,"69.7",30.3,70.5,23.9,66,31.8,69.9,28.8,73.3,2.5,16.1,6.7,0.1,1.3,54.7,15,60.2,26,80269,49,326036,229937,78069,285239,188324,90747,307613,214869,88466,313724,212842,86222,14660,184019,116364,56350,11305,177729,77289,712744,500737,18191,133545,46674,1038,12559,582376,426788,14631,93619,38750,839,7749,95.71,7446.91254832306
"142","IL-06","Illinois 6th","Republican","Peter","Roskam","(PEE-ter RAH-skum)","/'pi.Ä_Ä»Ä_ 'Ä_Äï.skÄ»m/","2006",1961,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",40.8,59.2,"32.9",67.1,"40.8",59.2,50.2,43.2,45.1,53.3,51.3,47.3,81.6,2.3,7.4,7.7,0.1,0.9,52.2,22,53.4,42,97387,18,353766,177578,152909,336936,151937,179606,349055,179195,165272,352146,143591,208555,0,238752,78465,160287,0,132991,193138,713102,566319,17544,62309,55511,656,10763,531232,433579,12097,39493,40783,486,4794,378.78,1882.62843867152
"143","IL-07","Illinois 7th","Democratic","Danny","Davis","(DAN-ee DAY-viss)","/'dí_.ni 'deÄÈ.vÄÈs/","1996",1941,"Man","Black - African-American","Christian - Baptist","No","Re-elected",84.2,15.8,"85.1",14.9,"88.5",11.5,87.4,9.2,87.2,11.8,89.4,9.9,30.4,50,11.5,6.7,0.1,1.3,40.7,76,73.7,4,54147,240,310159,271100,28580,302887,264185,35713,317655,284117,31528,297466,250584,46882,0,182278,155110,27168,0,242439,31466,713505,187438,379266,93446,41349,984,11022,551986,167727,276123,63601,36733,778,7024,62.52,11412.4280230326
"144","IL-08","Illinois 8th","Democratic","Raja","Krishnamoorthi","(RAH-jah krish-nuh-MOR-thee)","/'Ä_Äï._ÍÄï èëkÄ_ÄÈ_€.nÄ».'mÄîÄ_.‘Ÿi/","2016",1973,"Man","Asian - Indian","Hindu","No","Open - Ran for Senate and won",58.3,41.7,"55.7",44.3,"54.7",45.3,58.1,36.4,57.4,40.9,61.5,37.1,60.6,4,22.1,12,0.1,1.1,32.6,162,34.8,192,67745,116,255064,148233,92926,232123,133206,95031,245234,150851,91057,248571,144954,103617,0,151056,84178,66878,0,123206,101860,713275,394154,32457,189016,84946,934,11768,535959,324592,21672,118611,64345,620,6119,205.52,3470.58680420397
"145","IL-09","Illinois 9th","Democratic","Jan","Schakowsky","(JANN shuh-COW-skee)","/d_Íí_n _€Ä».'ka__.ski/","1998",1944,"Woman","White - Non-Hispanic","Jewish","No","Re-elected",66.5,33.5,"66.1",33.9,"66.3",33.7,70.1,24.9,65,33.3,68.6,30.3,68,8.5,9.6,12.1,0.1,1.7,53.2,21,58.2,30,67084,121,339587,238096,84456,308492,200656,102689,324117,222256,98111,326948,217306,109550,92,213450,141000,72384,66,194869,98924,712631,468954,62213,78762,85469,981,16252,564386,383724,47909,54193,68137,764,9659,105.35,6764.41385856668
"146","IL-10","Illinois 10th","Democratic","Brad","Schneider","(BRADD SHNAHY-der)","/bÄ_í_d '_€naÄÈ.Ä_Ä»Ä_/","2016",1961,"Man","White - Non-Hispanic","Jewish","No","Defeated",52.6,47.4,"48.7",51.3,"50.6",49.4,62,32.6,57.5,41.1,63,35.9,64.9,6.3,18.1,9.3,0.1,1.3,44.1,50,51.2,55,74971,70,288303,178857,94108,273616,157397,112555,287009,180786,103178,285996,150435,135535,26,187128,91136,95992,0,133890,130564,712264,433867,46852,152652,64843,1002,13048,525064,341009,32881,95020,48732,721,6701,299.78,2375.95570084729
"147","IL-11","Illinois 11th","Democratic","Bill","Foster","(BILL FAW-ster)","/bÄÈl 'fÄî.stÄ»Ä_/","2012, 2008 Special-2010",1955,"Man","White - Non-Hispanic","Unknown","No","Re-elected",60.4,39.6,"53.5",46.5,"58.6",41.4,58.9,35.4,57.8,40.6,61.8,37.7,59.8,10.4,21.8,6.8,0.1,1,36,119,42.5,119,72198,80,279620,164632,99104,263345,152265,107028,273024,168654,102909,275573,166578,108995,0,174772,93436,81335,1,148928,105348,711647,390596,77737,182106,48032,842,12334,508627,304278,52877,111090,34511,598,5273,280.95,2533.00231357893
"148","IL-12","Illinois 12th","Republican","Mike","Bost","(MIKE BAWST)","/maÄÈk bÄîst/","2014",1960,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",39.7,54.3,"41.9",52.5,"54.7",45.3,40.2,55,49.7,48.1,54.7,43.6,79.7,15.5,2.4,1.1,0.2,1,24,308,25,350,47430,347,315846,126817,173693,310294,154346,149339,327336,179180,142724,313002,124246,169976,18780,209738,87860,110038,11840,157000,129902,712791,550069,120416,20708,7333,1592,12673,547710,436641,84898,13357,5810,1297,5707,5008.21,142.324503165802
"149","IL-13","Illinois 13th","Republican","Rodney","Davis","(RAHD-nee DAY-viss)","/'Ä_Äïd.ni 'deÄÈ.vÄÈs/","2012",1970,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",40.3,59.7,"41.3",58.7,"49.8",50.2,44.2,49.7,48.6,48.9,54.6,43.6,83.5,9.1,2.5,3.5,0.2,1.2,30.2,197,30.1,270,49758,318,319979,141541,159013,301088,146442,147377,320653,175215,139650,314394,126811,187583,0,210272,86935,123337,0,136032,137034,710999,577477,73967,20798,23112,1320,14325,561827,469043,50983,14323,19746,1076,6656,5793.65,122.720392153478
"150","IL-14","Illinois 14th","Republican","Randy","Hultgren","(RAN-dee HOLT-grin)","/'Ä_í_n.di 'ho__lt.gÄ_ÄÈn/","2010",1966,"Man","White - Non-Hispanic","Christian - Evangelical Protestant","No","Re-elected",40.7,59.3,"34.6",65.4,"41.2",58.8,44.8,48.7,44.2,54.2,50,47.6,83.5,2.4,9.4,3.8,0.1,0.8,42.1,63,43.1,110,90345,29,343417,153989,167348,316591,139858,171582,326086,163089,155194,338097,137589,200508,0,222230,76861,145369,0,124351,177603,711895,574230,18814,80049,28205,898,9699,508613,424746,12216,47669,19479,640,3863,1597.6,445.602779168753
"151","IL-15","Illinois 15th","Republican","John","Shimkus","(JAHN SHIM-cuss)","/d_ÍÄïn '_€ÄÈm.kÄ»s/","1996",1958,"Man","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",0,100,"25.1",74.9,"31.4",68.6,24.5,70.7,34.1,63.9,42.8,55.4,92.8,3.9,1.9,0.5,0.2,0.7,20.2,386,20.6,412,49927,314,320442,78574,226605,308463,105065,197243,325930,139536,180694,274554,0,274554,0,221926,55652,166274,0,94162,205775,713428,655000,28591,16305,3849,1374,8309,550135,510625,21249,10318,2967,1109,3867,14695.67,48.5468168514943
"152","IL-16","Illinois 16th","Republican","Adam","Kinzinger","(ADD-um KIN-zing-er)","/'í_.Ä_Ä»m 'kÄÈn.ziÅ†.gÄ»Ä_/","2010",1978,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",0,100,"29.4",70.6,"38.2",61.8,38.3,55.5,45.2,52.9,50.1,48.2,88,3.2,6.5,1.4,0.2,0.7,22.2,348,22.5,396,57182,204,311988,119542,173093,303685,137165,160606,322096,161286,155210,259853,0,259722,131,217198,63810,153388,0,112301,181789,713876,610941,23431,59684,9694,1071,9055,544420,479292,17295,35635,7422,818,3958,7917.49,90.1644334252396
