"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"11","AR-03","Arkansas 3rd","Republican","Steve","Womack","(STEEV WOH-mack)","/stiv 'wo__.mí_k/","2010",1957,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,77.3,"0",79.4,"0",100,30.5,61.9,31.6,65.5,33.9,63.9,81.8,2.4,10,2.9,1.3,1.6,26.9,256,28.8,286,47903,340,292163,89081,180921,257668,81413,168703,253566,85866,161902,280907,0,217192,63715,190935,0,151630,39305,0,186467,728959,569478,18752,92851,22190,9591,16097,541997,443612,13066,54056,15601,6814,8848,5400.99,134.967663335796
"12","AR-04","Arkansas 4th","Republican","Bruce","Westerman","(BROOS WEST-er-muhn)","/bÄ_us 'wÄ_.stÄ»Ä_.mÄ»n/","2014",1967,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",0,74.9,"42.6",53.7,"38.1",61.9,31.3,64.2,35.9,61.8,37.4,59.9,75.4,18.3,4,0.6,0.6,1,15.8,420,17,430,39586,420,270781,84842,173731,265825,95383,164352,277684,103886,166465,244159,0,182885,61274,206131,87742,110789,7600,95013,154149,729002,529923,141313,37849,4729,4634,10554,555814,419039,101917,22266,3434,3444,5714,22338.08,32.6349444535967
"13","AZ-01","Arizona 1st","Democratic","Tom","O'Halleran","(TAHM oh-HAL-er-uhn)","/tÄïm o__.'hí_.lÄì.Ä_Ä»n","2016",1946,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Open - Ran for Senate and lost",50.7,43.4,"52.6",47.4,"51.9",48.1,46.6,47.7,47.9,50.4,47.8,51,56.2,2.1,18.1,1.8,20.5,1.3,24.5,304,34.2,199,50537,302,284973,132874,135928,260056,124550,131115,257294,123079,131208,280710,142219,121745,16746,185114,97391,87723,0,122774,113594,710224,361485,14687,147846,11190,162087,12929,522309,293758,11113,94295,9180,107182,6781,55039.61,12.9038705034429
"14","AZ-02","Arizona 2nd","Republican","Martha","McSally","(MAR-thuh mik-SAL-ee)","/'mÄïÄ_.‘ŸÄ» mÄÈk.'sí_.li/","2014",1966,"Woman","White - Non-Hispanic","Christian - Protestant","No","Re-elected",43,57,"49.9",50,"50.4",49.6,49.6,44.7,48.4,49.9,48.9,49.8,69.2,3.5,21.7,3,0.9,1.7,34,141,38.8,150,49072,326,315839,156676,141196,299691,144966,149651,308531,150877,153747,315679,135873,179806,0,219351,109543,109704,104,147338,144884,710224,457249,25861,183537,20664,6472,16441,558252,386563,19389,121379,16686,4899,9336,7838.12,90.6115241920256
"15","AZ-03","Arizona 3rd","Democratic","Raí_l","Grijalva","(rah-OOL gree-HAL-vuh) [Rs are trilled]","/rÄï.'ul gri.'hí_l.vÄ»/","2002",1948,"Man","Hispanic - Mexican","Christian - Roman Catholic","No","Re-elected",88.1,0,"55.7",44.2,"61.1",38.9,62.4,32.5,61.4,36.9,58.2,40.7,34.6,3.9,55.2,2.1,3.1,1.2,16.5,416,26.9,314,44224,381,208934,130466,67952,177248,108902,65482,176761,102818,71980,169135,148973,0,20162,104428,58192,46185,51,98468,62663,710224,206608,27375,430398,12954,22441,10448,497743,172005,19441,274610,10419,15302,5966,15688.79,45.2695204665242
"16","AZ-04","Arizona 4th","Republican","Paul","Gosar","(PAWL GOH-sar)","/pÄîl 'go__.sÄïÄ_/","2010",1958,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",28.5,71.5,"25.8",70,"29.8",70.2,27.5,67.7,31,67.2,34.4,64.2,79.7,1.5,14.5,1.2,1.8,1.3,19.2,398,20.5,414,49466,322,298483,82192,202043,258046,80035,173394,251086,86346,161163,284783,81296,203487,0,175179,45179,122560,7440,69154,162907,710224,538609,11065,127216,8356,12667,12311,556383,443629,8123,80797,6662,10146,7026,33199.45,21.3926435528299
"17","AZ-05","Arizona 5th","Republican","Andy","Biggs","(ANN-dee BIGZ)","/'í_n.di bÄÈgz/","2016",1958,"Man","White - Non-Hispanic","Christian - Mormon","No","Open - Retired",35.9,64.1,"30.4",69.6,"32.8",67.2,36.5,57.6,34.6,63.8,36.3,62.6,76.8,2.8,14,4.4,0.8,1.3,36,119,37.5,164,71693,82,332093,121280,191432,293748,101511,187304,286711,104014,179566,320124,114940,205184,0,179463,54596,124867,0,89589,183470,710224,518678,20369,118907,31210,6041,15019,512943,394037,14141,71636,22337,4087,6705,293.47,2420.09063958837
"18","AZ-06","Arizona 6th","Republican","David","Schweikert","(DAY-vid SHWAHY-kert)","/'deÄÈ.vÄÈd '_€waÄÈ.kÄ»Ä_t/","2010",1962,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",37.9,62.1,"35.1",64.9,"35.2",64.8,42.4,52.4,38.8,59.5,41.2,57.7,79.2,2.3,12.3,3.6,1.4,1.3,45.4,40,48.5,72,67830,114,338331,143571,177332,313417,121661,186537,316599,130426,182747,324444,122866,201578,0,199776,70198,129578,0,97666,179706,710224,534954,16932,107938,25771,11141,13488,554574,439087,12503,68057,19933,7677,7317,625.07,1136.23114211208
"19","AZ-07","Arizona 7th","Democratic","Ruben","Gallego","(ROO-bin GUY-ay-goh)","/'Ä_u.bÄÈn 'gaÄÈ.eÄÈ.go/","2014",1979,"Man","Hispanic - Mexican/Colombian","Christian - Roman Catholic","No","Re-elected",75.2,24.7,"74.9",0,"100",0,71.8,22.6,71.7,26.5,64.7,34.1,26.7,9,58.2,2.8,2.1,1.3,14,427,26.5,322,40991,409,164399,117958,37232,140907,101028,37353,132868,85991,45289,158811,119465,39286,60,72454,54235,0,18219,104489,0,710224,148948,61376,457064,17438,13930,11468,474491,126628,42663,275963,13180,9742,6315,205.12,3462.48049921997
"20","AZ-08","Arizona 8th","Vacant (R)","","","","","",NA,"","","","","Re-elected",0,68.5,"0",75.8,"35.6",64.4,37,58.1,36.9,61.7,38.4,60.6,76.1,3.6,15.1,3.2,0.7,1.3,29.4,214,31.3,245,61754,159,327325,120992,190163,291126,107335,179555,288189,110610,174516,298971,0,204942,94029,169776,0,128710,41066,95635,172809,710225,509305,27059,131226,23104,5003,14528,536590,408385,19155,81076,17325,3619,7030,539.66,1316.06011192232
